epoch batch vali_cost
0 0 1.11205
0 150 0.168024
0 300 0.165456
0 450 0.171956
0 600 0.179037
0 750 0.165854
0 900 0.172757
0 1050 0.165139
0 1200 0.167994
0 1350 0.16475
0 1500 0.166547
0 1650 0.161783
0 1800 0.179235
0 1950 0.181367
0 2100 0.161691
0 2250 0.159373
0 2400 0.178262
0 2550 0.159544
0 2700 0.20075
0 2850 0.169927
0 3000 0.155584
0 3150 0.168955
0 3300 0.149162
0 3450 0.154457
0 3600 0.176848
0 3750 0.178259
0 3900 0.150048
0 4050 0.15503
0 4200 0.136241
0 4350 0.134962
0 4500 0.137085
0 4650 0.123731
0 4800 0.156554
0 4950 0.131436
1 0 0.122315
1 150 0.125011
1 300 0.122774
1 450 0.150233
1 600 0.127504
1 750 0.128746
1 900 0.123044
1 1050 0.147474
1 1200 0.125376
1 1350 0.101964
1 1500 0.120349
1 1650 0.125774
1 1800 0.117713
1 1950 0.159109
1 2100 0.10825
1 2250 0.113871
1 2400 0.105351
1 2550 0.0834738
1 2700 0.100139
1 2850 0.0827127
1 3000 0.101011
1 3150 0.100452
1 3300 0.0898298
1 3450 0.0962304
1 3600 0.113364
1 3750 0.0724183
1 3900 0.099548
1 4050 0.0671684
1 4200 0.0918057
1 4350 0.0880787
1 4500 0.0920097
1 4650 0.228328
1 4800 0.115186
1 4950 0.106232
2 0 0.0973929
2 150 0.118466
2 300 0.0796613
2 450 0.123631
2 600 0.124974
2 750 0.0861667
2 900 0.115434
2 1050 0.187271
2 1200 0.180041
2 1350 0.133632
2 1500 0.100621
2 1650 0.112105
2 1800 0.227562
2 1950 0.163821
2 2100 0.14059
2 2250 0.138274
2 2400 0.155001
2 2550 0.141723
2 2700 0.150595
2 2850 0.129119
2 3000 0.163338
2 3150 0.149163
2 3300 0.129243
2 3450 0.0796172
2 3600 0.117667
2 3750 0.215151
2 3900 0.168428
2 4050 0.104886
2 4200 0.254144
2 4350 0.150276
2 4500 0.161401
2 4650 0.19839
2 4800 0.150527
2 4950 0.302908
3 0 0.139682
3 150 0.555328
3 300 2.00933
3 450 0.193615
3 600 0.259893
3 750 0.701704
3 900 0.371909
3 1050 0.53469
3 1200 0.251521
3 1350 0.200839
3 1500 0.427648
3 1650 0.152027
3 1800 0.145964
3 1950 0.160715
3 2100 0.627674
3 2250 0.196297
3 2400 0.145762
3 2550 0.150652
3 2700 0.10847
3 2850 0.0982494
3 3000 0.128817
3 3150 0.101093
3 3300 0.0925868
3 3450 0.107049
3 3600 0.111553
3 3750 0.105039
3 3900 0.082275
3 4050 0.0887761
3 4200 0.0878372
3 4350 0.0760627
3 4500 0.102036
3 4650 0.106354
3 4800 0.0645516
3 4950 0.061652
4 0 0.126144
4 150 0.0859942
4 300 0.0816006
4 450 0.0924284
4 600 0.0877722
4 750 0.0835402
4 900 0.0861266
4 1050 0.116166
4 1200 0.099667
4 1350 0.059769
4 1500 0.134705
4 1650 0.0812327
4 1800 0.078955
4 1950 0.0578515
4 2100 0.0499386
4 2250 0.106349
4 2400 0.0699279
4 2550 0.0558104
4 2700 0.0520236
4 2850 0.0666519
4 3000 0.0738522
4 3150 0.0528318
4 3300 0.0893455
4 3450 0.121698
4 3600 0.0687883
4 3750 0.0599336
4 3900 0.0792845
4 4050 0.0786792
4 4200 0.0883977
4 4350 0.0625133
4 4500 0.0647754
4 4650 0.0597669
4 4800 0.106952
4 4950 0.0645769
5 0 0.0600794
5 150 0.054622
5 300 0.0540383
5 450 0.0646134
5 600 0.0617522
5 750 0.0464901
5 900 0.0573434
5 1050 0.0789694
5 1200 0.0412568
5 1350 0.0625122
5 1500 0.0688427
5 1650 0.0613274
5 1800 0.0413886
5 1950 0.0618232
5 2100 0.0527282
5 2250 0.0429354
5 2400 0.0555492
5 2550 0.0583581
5 2700 0.0483235
5 2850 0.0604301
5 3000 0.0516371
5 3150 0.0460433
5 3300 0.0520496
5 3450 0.0352067
5 3600 0.0664971
5 3750 0.0425403
5 3900 0.0327613
5 4050 0.0450256
5 4200 0.0424277
5 4350 0.0402029
5 4500 0.0406143
5 4650 0.0387689
5 4800 0.0314848
5 4950 0.0256159
6 0 0.0335961
6 150 0.041099
6 300 0.0345626
6 450 0.0277856
6 600 0.0333117
6 750 0.0334947
6 900 0.0351075
6 1050 0.025903
6 1200 0.0348765
6 1350 0.0269286
6 1500 0.0347106
6 1650 0.0302437
6 1800 0.0260951
6 1950 0.0316435
6 2100 0.0263123
6 2250 0.0230354
6 2400 0.027942
6 2550 0.022879
6 2700 0.0214564
6 2850 0.0236987
6 3000 0.0246172
6 3150 0.0360181
6 3300 0.0255081
6 3450 0.0205039
6 3600 0.0244697
6 3750 0.0224047
6 3900 0.0245808
6 4050 0.0232777
6 4200 0.0228013
6 4350 0.0205061
6 4500 0.018442
6 4650 0.0170708
6 4800 0.0184996
6 4950 0.0187415
7 0 0.0179433
7 150 0.0206953
7 300 0.0154726
7 450 0.01787
7 600 0.0201037
7 750 0.0296236
7 900 0.0173125
7 1050 0.0240864
7 1200 0.0286267
7 1350 0.0212597
7 1500 0.0241666
7 1650 0.0318451
7 1800 0.0204156
7 1950 0.0342858
7 2100 0.0265143
7 2250 0.0251897
7 2400 0.0243709
7 2550 0.0247331
7 2700 0.0186413
7 2850 0.0237794
7 3000 0.0222983
7 3150 0.0296715
7 3300 0.0207803
7 3450 0.0223066
7 3600 0.0212663
7 3750 0.0195535
7 3900 0.0236126
7 4050 0.014247
7 4200 0.0223185
7 4350 0.0198199
7 4500 0.0265742
7 4650 0.02483
7 4800 0.0232767
7 4950 0.0210497
8 0 0.0194804
8 150 0.0271955
8 300 0.0280459
8 450 0.0194536
8 600 0.0227018
8 750 0.0226536
8 900 0.0190864
8 1050 0.0271324
8 1200 0.0243711
8 1350 0.0185467
8 1500 0.0251096
8 1650 0.0174358
8 1800 0.0202692
8 1950 0.0151781
8 2100 0.0170843
8 2250 0.0200205
8 2400 0.0213606
8 2550 0.0228424
8 2700 0.0204472
8 2850 0.0264187
8 3000 0.0195036
8 3150 0.0178319
8 3300 0.0184311
8 3450 0.0236958
8 3600 0.0207103
8 3750 0.0180377
8 3900 0.0223302
8 4050 0.0254395
8 4200 0.0199756
8 4350 0.0279883
8 4500 0.023025
8 4650 0.0259845
8 4800 0.0280959
8 4950 0.0215179
9 0 0.0225009
9 150 0.0228087
9 300 0.0269229
9 450 0.0218118
9 600 0.0209308
9 750 0.017539
9 900 0.0185009
9 1050 0.0183457
9 1200 0.0177674
9 1350 0.0194305
9 1500 0.0213027
9 1650 0.0310718
9 1800 0.0221584
9 1950 0.031853
9 2100 0.0196045
9 2250 0.0205277
9 2400 0.0204357
9 2550 0.0175046
9 2700 0.0265216
9 2850 0.0272781
9 3000 0.040371
9 3150 0.0270793
9 3300 0.0293605
9 3450 0.0229206
9 3600 0.0249856
9 3750 0.0227672
9 3900 0.026186
9 4050 0.0210677
9 4200 0.0185224
9 4350 0.0315886
9 4500 0.0215146
9 4650 0.0188008
9 4800 0.0240475
9 4950 0.0145853
