epoch batch k norm
0 0 0 8.19541e-14
0 0 1 1.08316e-13
0 0 2 1.42848e-13
0 0 3 1.87576e-13
0 0 4 2.48504e-13
0 0 5 3.28311e-13
0 0 6 4.3263e-13
0 0 7 5.70746e-13
0 0 8 7.49647e-13
0 0 9 9.89341e-13
0 0 10 1.31439e-12
0 0 11 1.7418e-12
0 0 12 2.30997e-12
0 0 13 3.04735e-12
0 0 14 4.02062e-12
0 0 15 5.28086e-12
0 0 16 6.99322e-12
0 0 17 9.21025e-12
0 0 18 1.21756e-11
0 0 19 1.60221e-11
0 0 20 2.11866e-11
0 0 21 2.81227e-11
0 0 22 3.71821e-11
0 0 23 4.9332e-11
0 0 24 6.54142e-11
0 0 25 8.63613e-11
0 0 26 1.13877e-10
0 0 27 1.50088e-10
0 0 28 1.96387e-10
0 0 29 2.56744e-10
0 0 30 3.36635e-10
0 0 31 4.43499e-10
0 0 32 5.82749e-10
0 0 33 7.65774e-10
0 0 34 1.01033e-09
0 0 35 1.3264e-09
0 0 36 1.73348e-09
0 0 37 2.27919e-09
0 0 38 2.97731e-09
0 0 39 3.91081e-09
0 0 40 5.14092e-09
0 0 41 6.72826e-09
0 0 42 8.76039e-09
0 0 43 1.14719e-08
0 0 44 1.50041e-08
0 0 45 1.9647e-08
0 0 46 2.58554e-08
0 0 47 3.39032e-08
0 0 48 4.47545e-08
0 0 49 5.87089e-08
0 0 50 7.73239e-08
0 0 51 1.02013e-07
0 0 52 1.33756e-07
0 0 53 1.78114e-07
0 0 54 2.34714e-07
0 0 55 3.09641e-07
0 0 56 4.09342e-07
0 0 57 5.3946e-07
0 0 58 7.11036e-07
0 0 59 9.32035e-07
0 0 60 1.2214e-06
0 0 61 1.60562e-06
0 0 62 2.11048e-06
0 0 63 2.77657e-06
0 0 64 3.65709e-06
0 0 65 4.81559e-06
0 0 66 6.33969e-06
0 0 67 8.31159e-06
0 0 68 1.09041e-05
0 0 69 1.42285e-05
0 0 70 1.87127e-05
0 0 71 2.45398e-05
0 0 72 3.22169e-05
0 0 73 4.2158e-05
0 0 74 5.51105e-05
0 0 75 7.20331e-05
0 0 76 9.42551e-05
0 0 77 0.000124209
0 0 78 0.000162641
0 0 79 0.000212781
0 0 80 0.000277422
0 0 81 0.00036077
0 0 82 0.000470895
0 0 83 0.000614729
0 0 84 0.000794616
0 0 85 0.00102684
0 0 86 0.00133171
0 0 87 0.00172815
0 0 88 0.00222841
0 0 89 0.0028854
0 0 90 0.0037417
0 0 91 0.00488847
0 0 92 0.0064498
0 0 93 0.00860493
0 0 94 0.0115506
0 0 95 0.0156574
0 0 96 0.021691
0 0 97 0.0307615
0 0 98 0.0465405
0 0 99 0.0782734
0 500 0 1.44766e-13
0 500 1 1.57103e-13
0 500 2 1.72006e-13
0 500 3 1.91422e-13
0 500 4 2.1793e-13
0 500 5 2.53459e-13
0 500 6 2.99774e-13
0 500 7 3.60757e-13
0 500 8 4.418e-13
0 500 9 5.48793e-13
0 500 10 6.9151e-13
0 500 11 8.80808e-13
0 500 12 1.12813e-12
0 500 13 1.44635e-12
0 500 14 1.86639e-12
0 500 15 2.40087e-12
0 500 16 3.09804e-12
0 500 17 4.01396e-12
0 500 18 5.2056e-12
0 500 19 6.7631e-12
0 500 20 8.79467e-12
0 500 21 1.14578e-11
0 500 22 1.49047e-11
0 500 23 1.9357e-11
0 500 24 2.50954e-11
0 500 25 3.24107e-11
0 500 26 4.20382e-11
0 500 27 5.45809e-11
0 500 28 7.11791e-11
0 500 29 9.31757e-11
0 500 30 1.22026e-10
0 500 31 1.6e-10
0 500 32 2.1034e-10
0 500 33 2.76538e-10
0 500 34 3.63672e-10
0 500 35 4.79146e-10
0 500 36 6.31012e-10
0 500 37 8.23686e-10
0 500 38 1.07813e-09
0 500 39 1.41643e-09
0 500 40 1.85102e-09
0 500 41 2.42924e-09
0 500 42 3.17659e-09
0 500 43 4.14925e-09
0 500 44 5.40606e-09
0 500 45 7.05957e-09
0 500 46 9.23185e-09
0 500 47 1.20341e-08
0 500 48 1.56162e-08
0 500 49 2.036e-08
0 500 50 2.64468e-08
0 500 51 3.44576e-08
0 500 52 4.47969e-08
0 500 53 5.83993e-08
0 500 54 7.60244e-08
0 500 55 9.89693e-08
0 500 56 1.28515e-07
0 500 57 1.67653e-07
0 500 58 2.19577e-07
0 500 59 2.87703e-07
0 500 60 3.75038e-07
0 500 61 4.86672e-07
0 500 62 6.32149e-07
0 500 63 8.22787e-07
0 500 64 1.07421e-06
0 500 65 1.40601e-06
0 500 66 1.83225e-06
0 500 67 2.3842e-06
0 500 68 3.1151e-06
0 500 69 4.0452e-06
0 500 70 5.26824e-06
0 500 71 6.84363e-06
0 500 72 8.8865e-06
0 500 73 1.15685e-05
0 500 74 1.50252e-05
0 500 75 1.95306e-05
0 500 76 2.53841e-05
0 500 77 3.29141e-05
0 500 78 4.28269e-05
0 500 79 5.57634e-05
0 500 80 7.25108e-05
0 500 81 9.41242e-05
0 500 82 0.000122843
0 500 83 0.000159885
0 500 84 0.000208607
0 500 85 0.000272241
0 500 86 0.000354471
0 500 87 0.000463515
0 500 88 0.000602145
0 500 89 0.000783802
0 500 90 0.0010257
0 500 91 0.00134648
0 500 92 0.00177044
0 500 93 0.00233023
0 500 94 0.00307219
0 500 95 0.00405837
0 500 96 0.00540333
0 500 97 0.00739942
0 500 98 0.0108266
0 500 99 0.0173657
0 1000 0 1.12929e-15
0 1000 1 1.28175e-15
0 1000 2 1.48998e-15
0 1000 3 1.78308e-15
0 1000 4 2.19612e-15
0 1000 5 2.76846e-15
0 1000 6 3.5612e-15
0 1000 7 4.6579e-15
0 1000 8 6.15557e-15
0 1000 9 8.21769e-15
0 1000 10 1.10302e-14
0 1000 11 1.48841e-14
0 1000 12 2.01351e-14
0 1000 13 2.72614e-14
0 1000 14 3.69401e-14
0 1000 15 5.03213e-14
0 1000 16 6.86084e-14
0 1000 17 9.38229e-14
0 1000 18 1.2817e-13
0 1000 19 1.75183e-13
0 1000 20 2.38967e-13
0 1000 21 3.2655e-13
0 1000 22 4.47707e-13
0 1000 23 6.11865e-13
0 1000 24 8.33612e-13
0 1000 25 1.13469e-12
0 1000 26 1.53824e-12
0 1000 27 2.09018e-12
0 1000 28 2.84928e-12
0 1000 29 3.89356e-12
0 1000 30 5.33104e-12
0 1000 31 7.29247e-12
0 1000 32 9.98312e-12
0 1000 33 1.36603e-11
0 1000 34 1.87055e-11
0 1000 35 2.56578e-11
0 1000 36 3.53318e-11
0 1000 37 4.87377e-11
0 1000 38 6.73458e-11
0 1000 39 9.29608e-11
0 1000 40 1.28508e-10
0 1000 41 1.77351e-10
0 1000 42 2.43825e-10
0 1000 43 3.3324e-10
0 1000 44 4.52926e-10
0 1000 45 6.14784e-10
0 1000 46 8.34052e-10
0 1000 47 1.1347e-09
0 1000 48 1.54685e-09
0 1000 49 2.12736e-09
0 1000 50 2.92623e-09
0 1000 51 4.0297e-09
0 1000 52 5.55592e-09
0 1000 53 7.66067e-09
0 1000 54 1.05168e-08
0 1000 55 1.43571e-08
0 1000 56 1.95526e-08
0 1000 57 2.6645e-08
0 1000 58 3.62388e-08
0 1000 59 4.92817e-08
0 1000 60 6.72391e-08
0 1000 61 9.14552e-08
0 1000 62 1.24455e-07
0 1000 63 1.68842e-07
0 1000 64 2.29469e-07
0 1000 65 3.13143e-07
0 1000 66 4.26194e-07
0 1000 67 5.77226e-07
0 1000 68 7.8091e-07
0 1000 69 1.0592e-06
0 1000 70 1.43967e-06
0 1000 71 1.95373e-06
0 1000 72 2.64914e-06
0 1000 73 3.60055e-06
0 1000 74 4.89643e-06
0 1000 75 6.68364e-06
0 1000 76 9.11966e-06
0 1000 77 1.24795e-05
0 1000 78 1.70636e-05
0 1000 79 2.32655e-05
0 1000 80 3.16465e-05
0 1000 81 4.30852e-05
0 1000 82 5.87401e-05
0 1000 83 8.00931e-05
0 1000 84 0.00010918
0 1000 85 0.000148422
0 1000 86 0.000201177
0 1000 87 0.000271055
0 1000 88 0.000364048
0 1000 89 0.000488742
0 1000 90 0.00065669
0 1000 91 0.000878673
0 1000 92 0.00117769
0 1000 93 0.0015922
0 1000 94 0.00216602
0 1000 95 0.00294801
0 1000 96 0.00402309
0 1000 97 0.00555469
0 1000 98 0.00845518
0 1000 99 0.0150221
0 1500 0 4.31682e-18
0 1500 1 5.17561e-18
0 1500 2 6.416e-18
0 1500 3 8.22077e-18
0 1500 4 1.08882e-17
0 1500 5 1.48624e-17
0 1500 6 2.06909e-17
0 1500 7 2.91402e-17
0 1500 8 4.14446e-17
0 1500 9 5.90886e-17
0 1500 10 8.48987e-17
0 1500 11 1.22555e-16
0 1500 12 1.7772e-16
0 1500 13 2.5879e-16
0 1500 14 3.77503e-16
0 1500 15 5.50989e-16
0 1500 16 7.98665e-16
0 1500 17 1.15912e-15
0 1500 18 1.68615e-15
0 1500 19 2.45224e-15
0 1500 20 3.56584e-15
0 1500 21 5.20201e-15
0 1500 22 7.59904e-15
0 1500 23 1.10761e-14
0 1500 24 1.6122e-14
0 1500 25 2.34314e-14
0 1500 26 3.3868e-14
0 1500 27 4.891e-14
0 1500 28 7.04758e-14
0 1500 29 1.01802e-13
0 1500 30 1.46966e-13
0 1500 31 2.12044e-13
0 1500 32 3.07496e-13
0 1500 33 4.49045e-13
0 1500 34 6.54896e-13
0 1500 35 9.55574e-13
0 1500 36 1.40027e-12
0 1500 37 2.03213e-12
0 1500 38 2.95091e-12
0 1500 39 4.28708e-12
0 1500 40 6.21993e-12
0 1500 41 9.04215e-12
0 1500 42 1.32251e-11
0 1500 43 1.93339e-11
0 1500 44 2.82461e-11
0 1500 45 4.12384e-11
0 1500 46 6.04516e-11
0 1500 47 8.84477e-11
0 1500 48 1.29922e-10
0 1500 49 1.91864e-10
0 1500 50 2.82778e-10
0 1500 51 4.15361e-10
0 1500 52 6.09634e-10
0 1500 53 8.92879e-10
0 1500 54 1.30567e-09
0 1500 55 1.90268e-09
0 1500 56 2.75971e-09
0 1500 57 4.02483e-09
0 1500 58 5.89121e-09
0 1500 59 8.58803e-09
0 1500 60 1.24628e-08
0 1500 61 1.81078e-08
0 1500 62 2.62763e-08
0 1500 63 3.8276e-08
0 1500 64 5.59538e-08
0 1500 65 8.19375e-08
0 1500 66 1.20128e-07
0 1500 67 1.75821e-07
0 1500 68 2.56777e-07
0 1500 69 3.75463e-07
0 1500 70 5.49164e-07
0 1500 71 7.99571e-07
0 1500 72 1.16194e-06
0 1500 73 1.68625e-06
0 1500 74 2.42676e-06
0 1500 75 3.49105e-06
0 1500 76 5.00691e-06
0 1500 77 7.21431e-06
0 1500 78 1.03824e-05
0 1500 79 1.49865e-05
0 1500 80 2.162e-05
0 1500 81 3.10466e-05
0 1500 82 4.4663e-05
0 1500 83 6.36664e-05
0 1500 84 9.03457e-05
0 1500 85 0.000126549
0 1500 86 0.000176913
0 1500 87 0.000246814
0 1500 88 0.000343521
0 1500 89 0.000476659
0 1500 90 0.000659202
0 1500 91 0.000913181
0 1500 92 0.00127164
0 1500 93 0.0017823
0 1500 94 0.00251612
0 1500 95 0.00353733
0 1500 96 0.00499919
0 1500 97 0.00719942
0 1500 98 0.0111523
0 1500 99 0.0212351
0 2000 0 1.77223e-18
0 2000 1 2.31086e-18
0 2000 2 3.09671e-18
0 2000 3 4.25944e-18
0 2000 4 5.97513e-18
0 2000 5 8.40965e-18
0 2000 6 1.18101e-17
0 2000 7 1.67205e-17
0 2000 8 2.38882e-17
0 2000 9 3.45239e-17
0 2000 10 5.06376e-17
0 2000 11 7.36416e-17
0 2000 12 1.05831e-16
0 2000 13 1.52394e-16
0 2000 14 2.19784e-16
0 2000 15 3.15673e-16
0 2000 16 4.50325e-16
0 2000 17 6.43992e-16
0 2000 18 9.24654e-16
0 2000 19 1.32676e-15
0 2000 20 1.90711e-15
0 2000 21 2.74279e-15
0 2000 22 3.93466e-15
0 2000 23 5.70272e-15
0 2000 24 8.2984e-15
0 2000 25 1.20649e-14
0 2000 26 1.7627e-14
0 2000 27 2.60217e-14
0 2000 28 3.83853e-14
0 2000 29 5.62484e-14
0 2000 30 8.25051e-14
0 2000 31 1.22126e-13
0 2000 32 1.80903e-13
0 2000 33 2.69499e-13
0 2000 34 4.03915e-13
0 2000 35 6.07625e-13
0 2000 36 9.14162e-13
0 2000 37 1.381e-12
0 2000 38 2.05991e-12
0 2000 39 3.05377e-12
0 2000 40 4.55389e-12
0 2000 41 6.70904e-12
0 2000 42 9.86496e-12
0 2000 43 1.44538e-11
0 2000 44 2.10659e-11
0 2000 45 3.07483e-11
0 2000 46 4.51958e-11
0 2000 47 6.69419e-11
0 2000 48 9.97317e-11
0 2000 49 1.48575e-10
0 2000 50 2.22228e-10
0 2000 51 3.31728e-10
0 2000 52 4.97849e-10
0 2000 53 7.41377e-10
0 2000 54 1.11763e-09
0 2000 55 1.6659e-09
0 2000 56 2.4973e-09
0 2000 57 3.75086e-09
0 2000 58 5.61868e-09
0 2000 59 8.44092e-09
0 2000 60 1.27405e-08
0 2000 61 1.93123e-08
0 2000 62 2.93172e-08
0 2000 63 4.47667e-08
0 2000 64 6.85606e-08
0 2000 65 1.04889e-07
0 2000 66 1.60885e-07
0 2000 67 2.45613e-07
0 2000 68 3.73222e-07
0 2000 69 5.66777e-07
0 2000 70 8.59979e-07
0 2000 71 1.30067e-06
0 2000 72 1.9759e-06
0 2000 73 2.99205e-06
0 2000 74 4.52639e-06
0 2000 75 6.83136e-06
0 2000 76 1.02709e-05
0 2000 77 1.53333e-05
0 2000 78 2.27072e-05
0 2000 79 3.35074e-05
0 2000 80 4.86327e-05
0 2000 81 6.96754e-05
0 2000 82 9.87898e-05
0 2000 83 0.000138243
0 2000 84 0.00019117
0 2000 85 0.000261575
0 2000 86 0.000355211
0 2000 87 0.000475461
0 2000 88 0.000631365
0 2000 89 0.000830575
0 2000 90 0.00108887
0 2000 91 0.0014284
0 2000 92 0.00187492
0 2000 93 0.00247016
0 2000 94 0.00329146
0 2000 95 0.00440683
0 2000 96 0.00595794
0 2000 97 0.00825777
0 2000 98 0.0123931
0 2000 99 0.0224665
0 2500 0 1.05535e-12
0 2500 1 1.23276e-12
0 2500 2 1.45561e-12
0 2500 3 1.73842e-12
0 2500 4 2.10831e-12
0 2500 5 2.59399e-12
0 2500 6 3.20513e-12
0 2500 7 4.01537e-12
0 2500 8 5.09364e-12
0 2500 9 6.52575e-12
0 2500 10 8.4611e-12
0 2500 11 1.10695e-11
0 2500 12 1.42314e-11
0 2500 13 1.85499e-11
0 2500 14 2.42945e-11
0 2500 15 3.18933e-11
0 2500 16 4.18982e-11
0 2500 17 5.48574e-11
0 2500 18 7.15188e-11
0 2500 19 9.29306e-11
0 2500 20 1.19862e-10
0 2500 21 1.52605e-10
0 2500 22 1.94254e-10
0 2500 23 2.487e-10
0 2500 24 3.16057e-10
0 2500 25 4.00165e-10
0 2500 26 5.02387e-10
0 2500 27 6.26031e-10
0 2500 28 7.75982e-10
0 2500 29 9.61745e-10
0 2500 30 1.19574e-09
0 2500 31 1.49076e-09
0 2500 32 1.87668e-09
0 2500 33 2.39039e-09
0 2500 34 3.04851e-09
0 2500 35 3.88136e-09
0 2500 36 5.02012e-09
0 2500 37 6.54582e-09
0 2500 38 8.64805e-09
0 2500 39 1.1318e-08
0 2500 40 1.48727e-08
0 2500 41 1.96158e-08
0 2500 42 2.59393e-08
0 2500 43 3.43553e-08
0 2500 44 4.54616e-08
0 2500 45 5.96285e-08
0 2500 46 7.80019e-08
0 2500 47 1.01006e-07
0 2500 48 1.30255e-07
0 2500 49 1.65352e-07
0 2500 50 2.09122e-07
0 2500 51 2.64281e-07
0 2500 52 3.31389e-07
0 2500 53 4.14781e-07
0 2500 54 5.18735e-07
0 2500 55 6.46342e-07
0 2500 56 8.02337e-07
0 2500 57 9.96307e-07
0 2500 58 1.24275e-06
0 2500 59 1.56889e-06
0 2500 60 2.00179e-06
0 2500 61 2.58924e-06
0 2500 62 3.38783e-06
0 2500 63 4.46765e-06
0 2500 64 5.94106e-06
0 2500 65 7.93657e-06
0 2500 66 1.06401e-05
0 2500 67 1.42925e-05
0 2500 68 1.91902e-05
0 2500 69 2.56874e-05
0 2500 70 3.42804e-05
0 2500 71 4.53647e-05
0 2500 72 5.85215e-05
0 2500 73 7.483e-05
0 2500 74 9.55198e-05
0 2500 75 0.000121337
0 2500 76 0.000153719
0 2500 77 0.000194102
0 2500 78 0.000244789
0 2500 79 0.000308585
0 2500 80 0.000387755
0 2500 81 0.000487678
0 2500 82 0.000613666
0 2500 83 0.000771404
0 2500 84 0.000966945
0 2500 85 0.0012069
0 2500 86 0.00150372
0 2500 87 0.00187032
0 2500 88 0.00231261
0 2500 89 0.00284296
0 2500 90 0.00346093
0 2500 91 0.00420856
0 2500 92 0.00494134
0 2500 93 0.00579021
0 2500 94 0.00665933
0 2500 95 0.00763215
0 2500 96 0.00874221
0 2500 97 0.0100357
0 2500 98 0.0124014
0 2500 99 0.0181827
0 3000 0 0.000759191
0 3000 1 0.000865838
0 3000 2 0.00101669
0 3000 3 0.00115457
0 3000 4 0.00135495
0 3000 5 0.00155542
0 3000 6 0.00177613
0 3000 7 0.00166879
0 3000 8 0.00156127
0 3000 9 0.00150214
0 3000 10 0.00151809
0 3000 11 0.00163349
0 3000 12 0.0018381
0 3000 13 0.0019923
0 3000 14 0.00190329
0 3000 15 0.00185705
0 3000 16 0.00187513
0 3000 17 0.00176274
0 3000 18 0.0016431
0 3000 19 0.00161324
0 3000 20 0.00164874
0 3000 21 0.00157429
0 3000 22 0.0015036
0 3000 23 0.00145943
0 3000 24 0.00142912
0 3000 25 0.00142882
0 3000 26 0.00144179
0 3000 27 0.00145278
0 3000 28 0.00147135
0 3000 29 0.00150952
0 3000 30 0.00157383
0 3000 31 0.00164022
0 3000 32 0.00171216
0 3000 33 0.00179609
0 3000 34 0.00186923
0 3000 35 0.00200345
0 3000 36 0.00214423
0 3000 37 0.00235581
0 3000 38 0.00259305
0 3000 39 0.00281133
0 3000 40 0.00288153
0 3000 41 0.00293106
0 3000 42 0.00300418
0 3000 43 0.00312339
0 3000 44 0.00315091
0 3000 45 0.00328426
0 3000 46 0.00347436
0 3000 47 0.00378735
0 3000 48 0.00410076
0 3000 49 0.00455029
0 3000 50 0.00500113
0 3000 51 0.00518629
0 3000 52 0.00543374
0 3000 53 0.00577782
