epoch batch vali_cost
0 0 1.13036
0 150 0.169955
0 300 0.174198
0 450 0.167477
0 600 0.169116
0 750 0.167263
0 900 0.169718
0 1050 0.167092
0 1200 0.168863
0 1350 0.167423
0 1500 0.167842
0 1650 0.166404
0 1800 0.168093
0 1950 0.166827
0 2100 0.181302
0 2250 0.167644
0 2400 0.166069
0 2550 0.163255
0 2700 0.152761
0 2850 0.11837
0 3000 0.106764
0 3150 0.144393
0 3300 0.0484695
0 3450 0.0898229
0 3600 0.0283323
0 3750 0.0335728
0 3900 0.0309817
0 4050 0.0457031
0 4200 0.0521516
0 4350 0.0316737
0 4500 0.192144
0 4650 0.0268036
0 4800 0.0252442
0 4950 0.027855
1 0 0.0289418
1 150 0.0564935
1 300 0.0398909
1 450 0.0233864
1 600 0.0192905
1 750 0.0193172
1 900 0.022398
1 1050 0.0259721
1 1200 0.0454021
1 1350 0.0576532
1 1500 0.0247573
1 1650 0.020214
1 1800 0.0101881
1 1950 0.0168588
1 2100 0.0100242
1 2250 0.0198857
1 2400 0.00865712
1 2550 0.00831399
1 2700 0.0120892
1 2850 0.00818993
1 3000 0.0235819
1 3150 0.0309112
1 3300 0.0199007
1 3450 0.00683353
1 3600 0.00877326
1 3750 0.00557097
1 3900 0.0141731
1 4050 0.0253756
1 4200 0.00305835
1 4350 0.00854998
1 4500 0.00438174
1 4650 0.0261682
1 4800 0.0238865
1 4950 0.0117233
2 0 0.00907816
2 150 0.00939319
2 300 0.00943064
2 450 0.00307475
2 600 0.00650749
2 750 0.0045147
2 900 0.00950322
2 1050 0.0069839
2 1200 0.0198756
2 1350 0.0025327
2 1500 0.0037495
2 1650 0.0072573
2 1800 0.00846017
2 1950 0.00614236
2 2100 0.0028813
2 2250 0.0073833
2 2400 0.00469517
2 2550 0.00195014
2 2700 0.001904
2 2850 0.00267906
2 3000 0.00221054
2 3150 0.00413584
2 3300 0.00714119
2 3450 0.0173573
2 3600 0.00173754
2 3750 0.0103657
2 3900 0.00484481
2 4050 0.00684236
2 4200 0.00154458
2 4350 0.00790116
2 4500 0.00242624
2 4650 0.00594204
2 4800 0.00394114
2 4950 0.00174153
3 0 0.00905516
3 150 0.00299081
3 300 0.00128926
3 450 0.00147812
3 600 0.00199725
3 750 0.00326766
3 900 0.00224777
3 1050 0.00149727
3 1200 0.00675696
3 1350 0.00117784
3 1500 0.00160852
3 1650 0.00156537
3 1800 0.0035444
3 1950 0.00243397
3 2100 0.00211399
3 2250 0.00410086
3 2400 0.00679649
3 2550 0.0110952
3 2700 0.0037742
3 2850 0.0029291
3 3000 0.002297
3 3150 0.00177027
3 3300 0.00137622
3 3450 0.00105978
3 3600 0.00195744
3 3750 0.00285427
3 3900 0.00488953
3 4050 0.0021577
3 4200 0.00271227
3 4350 0.000946628
3 4500 0.0015031
3 4650 0.00473552
3 4800 0.0127724
3 4950 0.00184261
4 0 0.00436866
4 150 0.00621885
4 300 0.00192209
4 450 0.00322801
4 600 0.00205668
4 750 0.00331357
4 900 0.00778893
4 1050 0.00235188
4 1200 0.00125353
4 1350 0.00485668
4 1500 0.00297249
4 1650 0.000684944
4 1800 0.00281468
4 1950 0.000852134
4 2100 0.0048214
4 2250 0.0019981
4 2400 0.000772489
4 2550 0.00258018
4 2700 0.00170368
4 2850 0.00160272
4 3000 0.000852838
4 3150 0.00316639
4 3300 0.00128293
4 3450 0.0021682
4 3600 0.000701763
4 3750 0.00188573
4 3900 0.000633114
4 4050 0.000584103
4 4200 0.00214252
4 4350 0.00112781
4 4500 0.00115503
4 4650 0.00251507
4 4800 0.00121236
4 4950 0.000659922
5 0 0.00266267
5 150 0.000710791
5 300 0.0018121
5 450 0.0017137
5 600 0.000627623
5 750 0.000752106
5 900 0.000614739
5 1050 0.000537392
5 1200 0.00272644
5 1350 0.000509757
5 1500 0.000757976
5 1650 0.00210156
5 1800 0.00405653
5 1950 0.000731087
5 2100 0.000640429
5 2250 0.00207721
5 2400 0.000513187
5 2550 0.00202862
5 2700 0.00453641
5 2850 0.00158395
5 3000 0.0016379
5 3150 0.00211354
5 3300 0.00228012
5 3450 0.000589254
5 3600 0.00664302
5 3750 0.00233628
5 3900 0.000457874
5 4050 0.00173858
5 4200 0.000514274
5 4350 0.000531266
5 4500 0.000682243
5 4650 0.000513678
