epoch batch time
0 0 9.53674316406e-07
0 150 54.455935955
0 300 57.3175330162
0 450 44.319434166
0 600 57.9525389671
0 750 45.7486579418
0 900 44.1716310978
0 1050 60.0256288052
0 1200 47.3434569836
0 1350 44.9136600494
0 1500 46.5617780685
0 1650 44.1254849434
0 1800 64.5753121376
0 1950 61.1089828014
0 2100 46.8016030788
0 2250 63.627327919
0 2400 43.6651740074
0 2550 49.3801181316
0 2700 44.120112896
0 2850 69.4559271336
0 3000 64.4237918854
0 3150 46.7753379345
0 3300 62.8647420406
0 3450 48.5960650444
0 3600 50.5678150654
0 3750 50.3397879601
0 3900 66.2205700874
0 4050 49.2018718719
0 4200 49.7594130039
0 4350 51.3240089417
0 4500 50.592952013
0 4650 66.4592959881
0 4800 66.119202137
0 4950 49.5679328442
1 0 0.0
1 150 67.2542641163
1 300 50.5542879105
1 450 49.9298169613
1 600 63.811342001
1 750 47.3715851307
1 900 65.9971179962
1 1050 63.0108599663
1 1200 50.8621900082
1 1350 70.0045249462
1 1500 65.0661520958
1 1650 65.8883838654
1 1800 50.0191931725
1 1950 67.0303280354
1 2100 50.8940680027
1 2250 51.112046957
1 2400 70.2223730087
1 2550 50.7891438007
1 2700 51.2802910805
1 2850 51.0464911461
1 3000 49.3183448315
1 3150 49.2769861221
1 3300 68.4655659199
1 3450 51.4530220032
1 3600 49.6739139557
1 3750 49.0989990234
1 3900 70.1282930374
1 4050 50.7161951065
1 4200 69.1438589096
1 4350 50.5590860844
1 4500 45.6389169693
1 4650 64.1802349091
1 4800 67.2964420319
1 4950 50.6682898998
2 0 0.0
2 150 46.5755360126
2 300 62.4824519157
2 450 62.9555430412
2 600 43.6127681732
2 750 51.2112169266
2 900 59.8900299072
2 1050 60.9229710102
2 1200 50.347481966
2 1350 44.5538079739
2 1500 64.8649020195
2 1650 43.6175580025
2 1800 48.3879601955
2 1950 60.7316038609
2 2100 46.6793410778
2 2250 47.5135178566
2 2400 61.5357141495
2 2550 49.8022680283
2 2700 44.7039580345
2 2850 47.8517448902
2 3000 45.6103949547
2 3150 48.8427119255
2 3300 46.4550771713
2 3450 48.87991786
2 3600 47.7608661652
2 3750 48.0567028522
2 3900 47.9425930977
2 4050 46.0268690586
2 4200 49.4045989513
2 4350 46.0628988743
2 4500 48.2068150043
2 4650 44.3425409794
2 4800 49.9638540745
2 4950 45.1845500469
3 0 0.0
3 150 46.493694067
3 300 49.0139279366
3 450 43.8337478638
