epoch batch vali_cost
0 0 1.56804
0 150 0.182174
0 300 0.170663
0 450 0.175121
0 600 0.165906
0 750 0.167205
0 900 0.166213
0 1050 0.16436
0 1200 0.164848
0 1350 0.164733
0 1500 0.167783
0 1650 0.176468
0 1800 0.162991
0 1950 0.162772
0 2100 0.163929
0 2250 0.161954
0 2400 0.163682
0 2550 0.163057
0 2700 0.163666
0 2850 0.160974
0 3000 0.160364
0 3150 0.160751
0 3300 0.159668
0 3450 0.161949
0 3600 0.163719
0 3750 0.160276
0 3900 0.158927
0 4050 0.159243
0 4200 0.160384
0 4350 0.160082
0 4500 0.161708
0 4650 0.156965
0 4800 0.156556
0 4950 0.174527
1 0 0.156479
1 150 0.156427
1 300 0.158442
1 450 0.15829
1 600 0.156309
1 750 0.156873
1 900 0.154326
1 1050 0.153087
1 1200 0.154144
1 1350 0.152045
1 1500 0.151835
1 1650 0.151806
1 1800 0.151809
1 1950 0.150106
1 2100 0.150161
1 2250 0.15325
1 2400 0.148928
1 2550 0.149609
1 2700 0.157456
1 2850 0.152746
1 3000 0.157281
1 3150 0.150206
1 3300 0.145055
1 3450 0.158861
1 3600 0.147206
1 3750 0.150913
1 3900 0.140293
1 4050 0.142701
1 4200 0.137836
1 4350 0.143501
1 4500 0.138689
1 4650 0.133287
1 4800 0.132724
1 4950 0.133596
2 0 0.144574
2 150 0.16331
2 300 0.127022
2 450 0.125444
2 600 0.126479
2 750 0.141391
2 900 0.124626
2 1050 0.11809
2 1200 0.165591
2 1350 0.189183
2 1500 0.113112
2 1650 0.156279
2 1800 0.146345
2 1950 0.110583
2 2100 0.175315
2 2250 0.145121
2 2400 0.109615
2 2550 0.122952
2 2700 0.133964
2 2850 0.121799
2 3000 0.117697
2 3150 0.11676
2 3300 0.120243
2 3450 0.128461
2 3600 0.135161
2 3750 0.137726
2 3900 0.115724
2 4050 0.114508
2 4200 0.114374
2 4350 0.153872
2 4500 0.136307
2 4650 0.182383
2 4800 0.142402
2 4950 0.117413
3 0 0.115045
3 150 0.119222
3 300 0.11333
3 450 0.223766
3 600 0.113772
3 750 0.115041
3 900 0.169735
3 1050 0.134194
3 1200 0.205513
3 1350 0.121664
3 1500 0.116222
3 1650 0.233189
3 1800 0.116272
3 1950 0.117033
3 2100 0.142374
3 2250 0.119275
3 2400 0.152345
3 2550 0.117028
3 2700 0.146556
3 2850 0.145273
3 3000 0.126393
3 3150 0.127879
3 3300 0.117953
3 3450 0.181711
3 3600 0.142261
3 3750 0.11723
3 3900 0.142491
3 4050 0.12943
3 4200 0.135024
3 4350 0.116015
3 4500 0.114468
3 4650 0.152505
3 4800 0.116328
3 4950 0.151458
4 0 0.177239
4 150 0.121108
4 300 0.120004
4 450 0.114755
4 600 0.116767
4 750 0.146952
4 900 0.130662
4 1050 0.123343
4 1200 0.116861
4 1350 0.113466
4 1500 0.11186
4 1650 0.185608
