epoch batch k norm
0 0 0 0.176176
0 0 1 0.175901
0 0 2 0.17579
0 0 3 0.17592
0 0 4 0.176297
0 0 5 0.176663
0 0 6 0.176831
0 0 7 0.17534
0 0 8 0.175274
0 0 9 0.175472
0 0 10 0.175304
0 0 11 0.175215
0 0 12 0.175021
0 0 13 0.175014
0 0 14 0.17519
0 0 15 0.174904
0 0 16 0.174645
0 0 17 0.1743
0 0 18 0.174386
0 0 19 0.174435
0 0 20 0.174571
0 0 21 0.174627
0 0 22 0.174787
0 0 23 0.174798
0 0 24 0.175009
0 0 25 0.174723
0 0 26 0.174513
0 0 27 0.174135
0 0 28 0.174155
0 0 29 0.173851
0 0 30 0.173951
0 0 31 0.174609
0 0 32 0.174817
0 0 33 0.174529
0 0 34 0.174489
0 0 35 0.17438
0 0 36 0.174166
0 0 37 0.174005
0 0 38 0.174003
0 0 39 0.173894
0 0 40 0.174195
0 0 41 0.174617
0 0 42 0.174485
0 0 43 0.174245
0 0 44 0.174195
0 0 45 0.173877
0 0 46 0.17405
0 0 47 0.174066
0 0 48 0.174474
0 0 49 0.174375
0 0 50 0.174459
0 0 51 0.174708
0 0 52 0.17446
0 0 53 0.174452
0 0 54 0.174346
0 0 55 0.174298
0 0 56 0.174289
0 0 57 0.174272
0 0 58 0.174344
0 0 59 0.174383
0 0 60 0.174249
0 0 61 0.174405
0 0 62 0.174137
0 0 63 0.173882
0 0 64 0.174061
0 0 65 0.17392
0 0 66 0.173749
0 0 67 0.173809
0 0 68 0.174191
0 0 69 0.174097
0 0 70 0.173943
0 0 71 0.17382
0 0 72 0.173753
0 0 73 0.174095
0 0 74 0.173978
0 0 75 0.174068
0 0 76 0.17391
0 0 77 0.173894
0 0 78 0.173865
0 0 79 0.173968
0 0 80 0.173854
0 0 81 0.174068
0 0 82 0.174014
0 0 83 0.173897
0 0 84 0.173802
0 0 85 0.173825
0 0 86 0.173928
0 0 87 0.173947
0 0 88 0.174187
0 0 89 0.174226
0 0 90 0.174111
0 0 91 0.174295
0 0 92 0.173937
0 0 93 0.173772
0 0 94 0.173753
0 0 95 0.174133
0 0 96 0.174299
0 0 97 0.174364
0 0 98 0.174413
0 0 99 0.174332
0 500 0 0.000125687
0 500 1 0.000138839
0 500 2 0.000149774
0 500 3 0.000160179
0 500 4 0.000169644
0 500 5 0.00017947
0 500 6 0.000192194
0 500 7 0.000204951
0 500 8 0.000218471
0 500 9 0.000229791
0 500 10 0.000242593
0 500 11 0.00025506
0 500 12 0.000269424
0 500 13 0.000283106
0 500 14 0.000303669
0 500 15 0.000319673
0 500 16 0.00033598
0 500 17 0.000355652
0 500 18 0.000380144
0 500 19 0.000400975
0 500 20 0.000422674
0 500 21 0.000444085
0 500 22 0.000462979
0 500 23 0.000488958
0 500 24 0.000514177
0 500 25 0.000541507
0 500 26 0.000569821
0 500 27 0.000602122
0 500 28 0.000630761
0 500 29 0.000660153
0 500 30 0.000691948
0 500 31 0.000731318
0 500 32 0.000772977
0 500 33 0.000812557
0 500 34 0.000854872
0 500 35 0.000897025
0 500 36 0.000948545
0 500 37 0.00100945
0 500 38 0.00107736
0 500 39 0.00112447
0 500 40 0.00117458
0 500 41 0.00122918
0 500 42 0.00131205
0 500 43 0.0013802
