epoch batch vali_cost
0 0 2.26994
0 150 0.200575
0 300 0.444842
0 450 0.177957
0 600 0.173006
0 750 0.176541
0 900 0.172939
0 1050 0.170103
0 1200 0.171867
0 1350 0.170642
0 1500 0.170563
0 1650 0.170361
0 1800 0.170095
0 1950 0.171025
0 2100 0.169312
0 2250 0.188798
0 2400 0.1697
0 2550 0.168192
0 2700 0.168239
0 2850 0.169152
0 3000 0.171335
0 3150 0.168273
0 3300 0.168774
0 3450 0.167253
0 3600 0.170428
0 3750 0.167102
0 3900 0.166967
0 4050 0.166804
0 4200 0.166976
0 4350 0.166946
0 4500 0.166842
0 4650 0.166125
0 4800 0.169537
0 4950 0.166193
1 0 0.165543
1 150 0.165189
1 300 0.165097
1 450 0.165265
1 600 0.166041
1 750 0.164134
1 900 0.164781
1 1050 0.163907
1 1200 0.163911
1 1350 0.163556
1 1500 0.163137
1 1650 0.162263
1 1800 0.164736
1 1950 0.162914
1 2100 0.161562
1 2250 0.161603
1 2400 0.167963
1 2550 0.161862
1 2700 0.16133
1 2850 0.160578
1 3000 0.161469
1 3150 0.161514
1 3300 0.167802
1 3450 0.163791
1 3600 0.159781
1 3750 0.159196
1 3900 0.158626
1 4050 0.159253
1 4200 0.158703
1 4350 0.159438
1 4500 0.157937
1 4650 0.156905
1 4800 0.164569
1 4950 0.172869
2 0 0.155521
2 150 0.154537
2 300 0.156598
2 450 0.154712
2 600 0.151329
2 750 0.150848
2 900 0.156104
2 1050 0.156083
2 1200 0.151057
2 1350 0.141662
2 1500 0.139864
2 1650 0.140415
2 1800 0.139024
2 1950 0.143227
2 2100 0.129407
2 2250 0.125118
2 2400 0.131853
2 2550 0.148008
2 2700 0.181222
2 2850 0.140832
2 3000 0.160286
2 3150 0.184155
2 3300 0.189516
2 3450 0.171586
2 3600 0.167635
2 3750 0.166788
2 3900 0.166661
2 4050 0.168041
2 4200 0.167373
2 4350 0.166899
2 4500 0.164593
2 4650 0.163172
2 4800 0.163257
2 4950 0.163683
3 0 0.166245
3 150 0.161694
3 300 0.16072
3 450 0.163001
3 600 0.164964
3 750 0.158758
3 900 0.164102
3 1050 0.157564
3 1200 0.153496
3 1350 0.144188
3 1500 0.135986
3 1650 0.170483
3 1800 0.141431
3 1950 0.12053
3 2100 0.154501
3 2250 0.163675
3 2400 0.16404
3 2550 0.161897
3 2700 0.1624
3 2850 0.162119
3 3000 0.163392
3 3150 0.162438
3 3300 0.165157
3 3450 0.164568
3 3600 0.162992
3 3750 0.162487
3 3900 0.167091
3 4050 0.161868
3 4200 0.161037
3 4350 0.160378
3 4500 0.15974
3 4650 0.158006
3 4800 0.156745
3 4950 0.158529
4 0 0.154753
4 150 0.150811
4 300 0.123395
4 450 0.199283
4 600 0.168163
4 750 0.163812
4 900 0.159772
4 1050 0.155585
4 1200 0.138002
4 1350 0.0677311
4 1500 0.323192
4 1650 0.163694
4 1800 0.162935
4 1950 0.160201
4 2100 0.159988
4 2250 0.163067
4 2400 0.157815
4 2550 0.156435
4 2700 0.157775
4 2850 0.175002
4 3000 0.153187
4 3150 0.152624
4 3300 0.13823
4 3450 0.133255
4 3600 0.169106
4 3750 0.164231
4 3900 0.163922
4 4050 0.160249
4 4200 0.159061
4 4350 0.157058
4 4500 0.156777
4 4650 0.160469
4 4800 0.160598
4 4950 0.154792
5 0 0.154544
5 150 0.15541
5 300 0.152247
5 450 0.150257
5 600 0.153174
5 750 0.160139
5 900 0.148199
5 1050 0.14684
5 1200 0.144197
5 1350 0.155
5 1500 0.139726
5 1650 0.148591
5 1800 0.136979
5 1950 0.131687
5 2100 0.132692
5 2250 0.130201
5 2400 0.13365
5 2550 0.152757
5 2700 0.137873
5 2850 0.132679
5 3000 0.135331
5 3150 0.130951
5 3300 0.130676
5 3450 0.127043
5 3600 0.131261
5 3750 0.134743
5 3900 0.132922
5 4050 0.131582
5 4200 0.132788
5 4350 0.12771
5 4500 0.127626
5 4650 0.126575
5 4800 0.12605
5 4950 0.129678
6 0 0.129152
6 150 0.121751
6 300 0.123884
6 450 0.273225
6 600 0.120707
6 750 0.134218
6 900 0.122771
6 1050 0.119481
6 1200 0.193858
6 1350 0.15751
6 1500 0.127142
6 1650 0.125887
6 1800 0.119115
6 1950 0.128817
6 2100 0.115821
6 2250 0.134441
6 2400 0.11619
6 2550 0.119166
6 2700 0.121897
6 2850 0.114433
6 3000 0.114405
6 3150 0.123148
6 3300 0.114201
6 3450 0.122212
6 3600 0.121915
6 3750 0.114646
6 3900 0.103769
6 4050 0.121431
6 4200 0.250722
6 4350 0.113207
6 4500 0.208901
6 4650 0.153779
6 4800 0.158527
6 4950 0.155263
7 0 0.145929
7 150 0.129393
7 300 0.125584
7 450 0.124374
7 600 0.128893
7 750 0.116196
7 900 0.123471
7 1050 0.113304
