epoch batch time
0 0 0.0
0 150 62.8133358955
0 300 60.7678711414
0 450 64.1493599415
0 600 65.3024098873
0 750 59.2098860741
0 900 63.8965620995
0 1050 62.7107288837
0 1200 63.9629440308
0 1350 64.8523600101
0 1500 63.8339030743
0 1650 45.9005799294
0 1800 47.1281430721
0 1950 45.1624419689
0 2100 45.6286680698
0 2250 44.5532557964
0 2400 45.4382030964
0 2550 46.7211649418
0 2700 43.3139431477
0 2850 40.772592783
0 3000 49.1499321461
0 3150 48.5218389034
0 3300 45.7933681011
0 3450 40.4199590683
0 3600 43.5485799313
0 3750 47.7462499142
0 3900 47.5697691441
0 4050 49.1364979744
0 4200 49.4683320522
0 4350 60.2821948528
0 4500 66.8524310589
0 4650 64.7987599373
0 4800 59.8155379295
0 4950 61.166241169
1 0 0.0
1 150 57.5116858482
1 300 42.8312602043
1 450 58.9888379574
1 600 42.3775260448
1 750 43.2854819298
1 900 45.6971628666
1 1050 45.7760691643
1 1200 62.5099718571
1 1350 44.8308911324
1 1500 61.7469530106
1 1650 45.6264219284
1 1800 45.716561079
1 1950 46.1784889698
1 2100 45.2609100342
1 2250 46.3642599583
1 2400 62.9536449909
1 2550 46.0443599224
1 2700 47.6243469715
1 2850 45.8467681408
1 3000 46.3123869896
1 3150 45.7733399868
1 3300 62.0603950024
1 3450 59.1733829975
1 3600 45.9195070267
1 3750 45.9446339607
1 3900 61.6153130531
1 4050 46.3412418365
1 4200 46.0975050926
1 4350 45.6257710457
1 4500 61.5697929859
1 4650 44.7213950157
1 4800 45.7280409336
1 4950 44.6136341095
2 0 0.0
2 150 46.406512022
2 300 48.1386909485
2 450 63.5565280914
2 600 45.6474478245
2 750 44.2989940643
2 900 45.1119720936
2 1050 45.7307589054
2 1200 45.6921679974
2 1350 46.1297609806
2 1500 44.9135489464
2 1650 62.1340181828
2 1800 47.7911808491
2 1950 47.0819349289
2 2100 42.8061711788
2 2250 39.1797850132
2 2400 36.6429028511
2 2550 41.7203431129
2 2700 38.6063320637
2 2850 37.6127128601
2 3000 39.0470650196
2 3150 38.3247339725
2 3300 39.0799231529
2 3450 39.5033638477
2 3600 58.2571971416
2 3750 36.8860709667
2 3900 51.8428318501
2 4050 39.1210300922
2 4200 37.6848590374
2 4350 36.0650749207
2 4500 37.8165259361
2 4650 41.2085311413
2 4800 35.9081389904
2 4950 36.4975440502
3 0 0.0
3 150 55.8455450535
3 300 41.6748459339
3 450 43.1549341679
3 600 39.7331719398
3 750 45.8702800274
3 900 41.1358299255
3 1050 35.7775371075
3 1200 35.1378948689
3 1350 35.3138170242
3 1500 35.0190820694
3 1650 35.127384901
3 1800 38.4755511284
3 1950 44.8444468975
3 2100 43.0494539738
3 2250 44.2154011726
3 2400 44.3497569561
3 2550 38.4867949486
3 2700 36.6776740551
3 2850 36.8494410515
3 3000 38.7112169266
3 3150 36.2375509739
3 3300 37.2553091049
3 3450 40.1251897812
3 3600 36.5106580257
3 3750 36.1910111904
3 3900 56.7746419907
3 4050 42.3335928917
3 4200 41.6954638958
3 4350 41.6479671001
3 4500 38.7066209316
3 4650 36.8887190819
3 4800 37.0046999454
3 4950 36.8844890594
4 0 9.53674316406e-07
4 150 37.5513131618
4 300 38.6172809601
4 450 40.0510709286
4 600 41.3943181038
4 750 39.4004089832
4 900 39.3006939888
4 1050 42.7952129841
4 1200 40.1137199402
4 1350 53.10810709
4 1500 37.4797308445
4 1650 36.1173300743
4 1800 39.565048933
4 1950 37.2140960693
4 2100 46.1691761017
4 2250 38.0161747932
4 2400 38.925355196
4 2550 40.1600079536
4 2700 42.7297439575
4 2850 37.8555350304
4 3000 37.0545358658
4 3150 36.5001420975
4 3300 36.4744338989
4 3450 40.4538810253
4 3600 36.7803621292
4 3750 37.2972619534
4 3900 38.6904668808
4 4050 37.404074192
4 4200 39.727588892
4 4350 36.7140939236
