epoch batch vali_cost
0 0 0.597509
0 150 0.234014
0 300 0.191072
0 450 0.176396
0 600 0.173536
0 750 0.164689
0 900 0.159687
0 1050 0.154431
0 1200 0.151527
0 1350 0.149224
0 1500 0.140535
0 1650 7.94677e+07
0 1800 0.173809
0 1950 0.171856
0 2100 0.187103
0 2250 0.184412
0 2400 0.184455
0 2550 0.174826
0 2700 0.170543
0 2850 0.168722
0 3000 0.170645
0 3150 0.16228
0 3300 0.161427
0 3450 0.161004
0 3600 0.157623
0 3750 0.155519
0 3900 0.153794
0 4050 0.149234
0 4200 0.141835
0 4350 0.135248
0 4500 0.125364
0 4650 0.117768
0 4800 0.111715
0 4950 0.105345
1 0 0.101531
1 150 0.0903606
1 300 0.0952598
1 450 0.0897916
1 600 0.0900669
1 750 0.103383
1 900 0.0958796
1 1050 0.119667
1 1200 0.0705459
1 1350 0.0747841
1 1500 0.0539118
1 1650 0.0678389
1 1800 0.0664311
1 1950 0.201641
1 2100 0.139325
1 2250 0.146631
1 2400 0.0350567
1 2550 0.0444633
1 2700 0.0737167
1 2850 0.0450705
1 3000 0.109293
1 3150 0.0632353
1 3300 0.0341011
1 3450 0.0303816
1 3600 0.0315654
1 3750 0.0350674
1 3900 0.0287186
1 4050 0.0835779
1 4200 0.0317127
1 4350 0.0971237
1 4500 0.0215412
1 4650 0.0224952
1 4800 0.0255853
1 4950 0.0275484
2 0 0.0392476
2 150 0.0234272
2 300 0.0242856
2 450 0.0192195
2 600 0.0299328
2 750 0.0224372
2 900 0.0340893
2 1050 0.0227266
2 1200 0.0314232
2 1350 0.0246969
2 1500 0.0437959
2 1650 0.0156603
2 1800 0.0420135
2 1950 0.0220012
2 2100 0.0415113
2 2250 0.0183085
2 2400 0.0220513
2 2550 0.0661255
2 2700 0.0547955
2 2850 0.0289186
2 3000 0.0851173
2 3150 0.0286462
2 3300 0.0331534
2 3450 0.0616948
2 3600 0.0152509
2 3750 0.0193194
2 3900 0.0143006
2 4050 0.0718411
2 4200 0.0150448
2 4350 0.026373
2 4500 0.0202843
2 4650 0.032727
2 4800 0.0181419
2 4950 0.0237531
3 0 0.0467578
3 150 0.0132979
3 300 0.0598014
3 450 0.0507198
3 600 0.0206057
3 750 0.0405288
3 900 0.0245914
3 1050 0.0149289
3 1200 0.0199309
3 1350 0.081606
3 1500 0.0510443
3 1650 0.0394135
3 1800 0.0337786
3 1950 0.106034
3 2100 0.0151627
3 2250 0.0324459
3 2400 0.0285337
3 2550 0.059103
3 2700 0.060417
3 2850 0.126477
3 3000 0.0221756
3 3150 0.0224489
3 3300 0.0135325
3 3450 0.0382349
3 3600 0.0310064
3 3750 0.0155844
3 3900 0.0118587
3 4050 0.0490185
3 4200 0.0132063
3 4350 0.0174329
3 4500 0.0309654
3 4650 0.0202386
3 4800 0.031118
3 4950 0.0470237
4 0 0.0319966
4 150 0.0522457
4 300 0.0443579
4 450 0.0186011
4 600 0.0260655
4 750 0.0160718
4 900 0.029019
4 1050 0.0129635
4 1200 0.0124411
4 1350 0.0102688
4 1500 0.04612
4 1650 0.0295705
4 1800 0.0817009
4 1950 0.0378693
4 2100 0.0374218
4 2250 0.0332865
4 2400 0.0118044
4 2550 0.0104289
4 2700 0.0112181
4 2850 0.0304742
4 3000 0.0314562
4 3150 0.0201866
4 3300 0.0215872
4 3450 0.0304638
4 3600 0.0222103
4 3750 0.0189707
4 3900 0.0230794
4 4050 0.0123612
4 4200 0.0129606
4 4350 0.017851
4 4500 0.0769495
4 4650 0.0187599
4 4800 0.0103047
4 4950 0.015685
5 0 0.0094501
5 150 0.0143521
5 300 0.00858876
5 450 0.0513885
5 600 0.0256593
5 750 0.0123804
5 900 0.0204587
5 1050 0.0456956
5 1200 0.0109724
5 1350 0.0369333
5 1500 0.014977
5 1650 0.028313
5 1800 0.0148031
5 1950 0.0108929
5 2100 0.0171665
5 2250 0.0140445
5 2400 0.00847002
5 2550 0.014142
5 2700 0.0144432
5 2850 0.530478
5 3000 0.340385
5 3150 0.216827
5 3300 0.180959
5 3450 0.171549
5 3600 0.170034
5 3750 0.166603
5 3900 0.163294
5 4050 0.162015
5 4200 0.16442
5 4350 0.158984
5 4500 0.157619
5 4650 0.156712
5 4800 0.15569
5 4950 0.155873
6 0 0.155485
6 150 0.149055
6 300 0.151938
6 450 0.142051
6 600 0.140335
6 750 0.132245
6 900 0.129144
6 1050 0.116709
6 1200 0.0940184
6 1350 0.069218
6 1500 0.176406
6 1650 0.169236
6 1800 0.166573
6 1950 0.163876
6 2100 0.163316
6 2250 0.162884
6 2400 0.161718
6 2550 0.158121
6 2700 0.156147
6 2850 0.159769
6 3000 0.129589
6 3150 0.0728246
6 3300 0.0796671
6 3450 0.0425652
6 3600 0.0548256
6 3750 0.0425058
6 3900 0.0284935
6 4050 0.0369797
6 4200 0.143692
6 4350 0.0253368
6 4500 0.0677147
6 4650 0.0387496
6 4800 0.0231345
6 4950 0.0230753
7 0 0.0550213
7 150 0.0253298
7 300 0.0407814
7 450 0.0246027
7 600 0.0870116
7 750 0.0255794
7 900 0.0396792
7 1050 0.0313011
7 1200 0.0198346
7 1350 0.0219559
7 1500 0.029053
7 1650 0.103215
7 1800 0.0262489
7 1950 0.0418789
7 2100 0.022626
7 2250 0.0294212
7 2400 0.017859
7 2550 0.0197343
7 2700 0.0377731
7 2850 0.0205217
7 3000 0.0171941
7 3150 0.0222081
7 3300 0.0254767
7 3450 0.0447085
7 3600 0.0257549
7 3750 0.0473173
7 3900 0.0187344
7 4050 0.0241434
7 4200 0.0285933
7 4350 0.0256781
7 4500 0.0316284
7 4650 0.0482541
7 4800 0.0601776
7 4950 0.0286799
8 0 0.0556855
8 150 0.0403972
8 300 0.02734
8 450 0.0252256
8 600 0.0278408
8 750 0.0169166
8 900 0.0270195
8 1050 0.0151069
8 1200 0.0199169
8 1350 0.0144095
8 1500 0.0241919
8 1650 0.0384192
8 1800 0.0156404
8 1950 0.0202607
8 2100 0.0712927
8 2250 0.0221629
8 2400 0.0134645
8 2550 0.0145534
8 2700 0.0161377
8 2850 0.0641178
8 3000 0.0168631
8 3150 0.0131046
8 3300 0.0470502
8 3450 0.0148876
8 3600 0.015223
8 3750 0.0129736
8 3900 0.0205184
8 4050 0.015069
8 4200 0.013655
8 4350 0.0203073
8 4500 0.013326
8 4650 0.0179063
8 4800 0.0181576
8 4950 0.0240692
9 0 0.0135028
9 150 0.0148076
9 300 0.0164038
9 450 0.012436
9 600 0.0138274
9 750 0.0419417
9 900 0.050222
9 1050 0.0314214
9 1200 0.0107505
9 1350 0.0107179
9 1500 0.0144822
9 1650 0.0353067
9 1800 0.0102391
9 1950 0.0145063
9 2100 0.0108784
9 2250 0.0114498
9 2400 0.0230445
9 2550 0.0102151
9 2700 0.0101236
9 2850 0.0327083
9 3000 0.0522918
9 3150 0.0112747
9 3300 0.0108471
9 3450 0.027461
9 3600 0.0212805
9 3750 0.0106117
9 3900 0.0196965
9 4050 0.00956984
9 4200 0.00970721
9 4350 0.0119843
9 4500 0.0219017
9 4650 0.00876598
9 4800 0.0104378
9 4950 0.0100085
