epoch batch train_cost
0 0 2.19956
0 150 0.716363
0 300 0.454957
0 450 0.381741
0 600 0.337292
0 750 0.302876
0 900 0.291039
0 1050 0.271543
0 1200 0.25895
0 1350 0.250125
0 1500 0.244802
0 1650 0.241261
0 1800 0.234652
0 1950 0.231426
0 2100 0.224683
0 2250 0.232152
0 2400 0.238047
0 2550 0.233852
0 2700 0.22538
0 2850 0.230987
0 3000 0.208516
0 3150 0.242806
0 3300 0.252961
0 3450 0.237576
0 3600 0.222834
0 3750 0.235177
0 3900 0.517225
0 4050 0.252276
0 4200 0.333974
0 4350 0.240106
0 4500 0.306968
0 4650 0.262157
0 4800 0.249773
0 4950 0.251435
1 0 0.243353
1 150 0.238189
1 300 0.225759
1 450 0.227918
1 600 0.224675
1 750 0.226221
1 900 0.223781
1 1050 0.234624
1 1200 0.222059
1 1350 0.232783
1 1500 0.234791
1 1650 0.224742
1 1800 0.22239
1 1950 0.223543
1 2100 0.222225
1 2250 0.219548
1 2400 0.212953
1 2550 0.213965
1 2700 0.21329
1 2850 0.210666
1 3000 0.201919
1 3150 0.213838
1 3300 0.206515
1 3450 0.21057
1 3600 0.208767
1 3750 0.216978
1 3900 0.204638
1 4050 0.208412
1 4200 0.205275
1 4350 0.199422
1 4500 0.208496
1 4650 0.205584
1 4800 0.196687
1 4950 0.194329
2 0 0.197591
2 150 0.204825
2 300 0.194907
2 450 0.189255
2 600 0.20826
2 750 0.230377
2 900 0.235068
2 1050 0.227298
2 1200 0.366768
2 1350 0.279811
2 1500 0.223955
2 1650 0.369405
2 1800 0.27893
2 1950 0.236624
2 2100 0.196923
2 2250 0.227295
2 2400 0.234787
2 2550 0.276103
2 2700 0.293746
2 2850 0.295399
2 3000 1.58808
2 3150 0.200231
2 3300 0.214097
2 3450 0.227319
2 3600 0.208914
2 3750 0.222355
2 3900 0.219402
2 4050 0.213699
2 4200 0.212043
2 4350 0.204274
2 4500 0.213564
2 4650 0.218276
2 4800 0.210635
2 4950 0.208795
3 0 0.226463
3 150 0.222731
3 300 0.219149
3 450 0.206945
3 600 0.217593
3 750 0.208731
3 900 0.213905
3 1050 0.21334
3 1200 0.225574
3 1350 0.208298
3 1500 0.210531
3 1650 0.215189
3 1800 0.210465
3 1950 0.199202
3 2100 0.344038
3 2250 0.215955
3 2400 0.212926
3 2550 0.201399
3 2700 0.218382
3 2850 0.206219
3 3000 0.210268
3 3150 0.202402
3 3300 0.195207
3 3450 0.214989
3 3600 0.201818
3 3750 0.206626
3 3900 0.197766
3 4050 0.207689
3 4200 0.20546
3 4350 0.194517
3 4500 0.205667
3 4650 0.194417
