epoch batch vali_cost
0 0 2.19988
0 150 0.715583
0 300 0.46617
0 450 0.380499
0 600 0.335446
0 750 0.306037
0 900 0.28526
0 1050 0.270392
0 1200 0.260084
0 1350 0.251966
0 1500 0.245699
0 1650 0.239815
0 1800 0.235468
0 1950 0.231716
0 2100 0.225842
0 2250 0.231859
0 2400 0.23802
0 2550 0.232975
0 2700 0.225577
0 2850 0.230893
0 3000 0.20976
0 3150 0.242787
0 3300 0.253177
0 3450 0.238291
0 3600 0.221551
0 3750 0.235438
0 3900 0.533652
0 4050 0.251558
0 4200 0.332645
0 4350 0.241403
0 4500 0.308706
0 4650 0.270641
0 4800 0.250883
0 4950 0.251252
1 0 0.249635
1 150 0.237294
1 300 0.226295
1 450 0.231869
1 600 0.225253
1 750 0.223427
1 900 0.227799
1 1050 0.230132
1 1200 0.229318
1 1350 0.231957
1 1500 0.231338
1 1650 0.226495
1 1800 0.22259
1 1950 0.220917
1 2100 0.216953
1 2250 0.218519
1 2400 0.215874
1 2550 0.215206
1 2700 0.212985
1 2850 0.211246
1 3000 0.212472
1 3150 0.21179
1 3300 0.208118
1 3450 0.210374
1 3600 0.208692
1 3750 0.214902
1 3900 0.207757
1 4050 0.208949
1 4200 0.207073
1 4350 0.205281
1 4500 0.20615
1 4650 0.203771
1 4800 0.198037
1 4950 0.196696
2 0 0.195921
2 150 0.200877
2 300 0.196151
2 450 0.192869
2 600 0.207119
2 750 0.232224
2 900 0.226539
2 1050 0.230902
2 1200 0.369887
2 1350 0.284547
2 1500 0.222566
2 1650 0.357591
2 1800 0.301831
2 1950 0.244572
2 2100 0.197133
2 2250 0.229153
2 2400 0.231062
2 2550 0.265035
2 2700 0.305697
2 2850 0.294761
2 3000 1.57946
2 3150 0.206841
2 3300 0.214627
2 3450 0.220617
2 3600 0.212321
2 3750 0.222427
2 3900 0.219405
2 4050 0.217866
2 4200 0.21617
2 4350 0.208714
2 4500 0.215787
2 4650 0.212495
2 4800 0.210647
2 4950 0.209788
3 0 0.227762
3 150 0.22558
3 300 0.219438
3 450 0.210407
3 600 0.217126
3 750 0.209615
3 900 0.208873
3 1050 0.216291
3 1200 0.211329
3 1350 0.210634
3 1500 0.209862
3 1650 0.209203
3 1800 0.207854
3 1950 0.208953
3 2100 0.332562
3 2250 0.214214
3 2400 0.214812
3 2550 0.198921
3 2700 0.211615
3 2850 0.206447
3 3000 0.210307
3 3150 0.202256
3 3300 0.194712
3 3450 0.211033
3 3600 0.198802
3 3750 0.204301
3 3900 0.201975
3 4050 0.201083
3 4200 0.198642
3 4350 0.198795
3 4500 0.199043
3 4650 0.196891
3 4800 0.196462
3 4950 0.196276
4 0 0.194473
4 150 0.192291
4 300 0.189962
4 450 0.18771
4 600 0.191098
4 750 0.187175
