epoch batch k norm
0 0 0 0.000559788
0 0 1 0.000558637
0 0 2 0.000556527
0 0 3 0.000549501
0 0 4 0.000549325
0 0 5 0.00054419
0 0 6 0.000542601
0 0 7 0.000533462
0 0 8 0.00052662
0 0 9 0.000519754
0 0 10 0.000523001
0 0 11 0.000521142
0 0 12 0.000520595
0 0 13 0.000520247
0 0 14 0.00051994
0 0 15 0.00051971
0 0 16 0.000519564
0 0 17 0.000519483
0 0 18 0.000519444
0 0 19 0.000519431
0 0 20 0.000519431
0 0 21 0.000519435
0 0 22 0.000519437
0 0 23 0.000519436
0 0 24 0.00051943
0 0 25 0.000519419
0 0 26 0.000519405
0 0 27 0.000519389
0 0 28 0.000519372
0 0 29 0.000519355
0 0 30 0.00051934
0 0 31 0.000519326
0 0 32 0.000519314
0 0 33 0.000519305
0 0 34 0.000519297
0 0 35 0.000519291
0 0 36 0.000519286
0 0 37 0.000519283
0 0 38 0.000519281
0 0 39 0.000519279
0 0 40 0.000519278
0 0 41 0.000519277
0 0 42 0.000519276
0 0 43 0.000519276
0 0 44 0.000519276
0 0 45 0.000519276
0 0 46 0.000519276
0 0 47 0.000519276
0 0 48 0.000519276
0 0 49 0.000519276
0 0 50 0.000519276
0 0 51 0.000519276
0 0 52 0.000519276
0 0 53 0.000519276
0 0 54 0.000519276
0 0 55 0.000519276
0 0 56 0.000519276
0 0 57 0.000519276
0 0 58 0.000519276
0 0 59 0.000519276
0 0 60 0.000519276
0 0 61 0.000519276
0 0 62 0.000519276
0 0 63 0.000519276
0 0 64 0.000519276
0 0 65 0.000519276
0 0 66 0.000519276
0 0 67 0.000519276
0 0 68 0.000519276
0 0 69 0.000519276
0 0 70 0.000519276
0 0 71 0.000519276
0 0 72 0.000519276
0 0 73 0.000519276
0 0 74 0.000519276
0 0 75 0.000519275
0 0 76 0.000519275
0 0 77 0.000519274
0 0 78 0.000519273
0 0 79 0.000519271
0 0 80 0.000519268
0 0 81 0.000519264
0 0 82 0.000519257
0 0 83 0.000519248
0 0 84 0.000519234
0 0 85 0.000519216
0 0 86 0.00051919
0 0 87 0.000519157
0 0 88 0.000519112
0 0 89 0.000519054
0 0 90 0.000518978
0 0 91 0.000518881
0 0 92 0.000518755
0 0 93 0.00051859
0 0 94 0.000518369
0 0 95 0.000518067
0 0 96 0.000517643
0 0 97 0.000517032
0 0 98 0.000516137
0 0 99 0.000514809
0 0 100 0.000512828
0 0 101 0.000509869
0 0 102 0.000505452
0 0 103 0.00049886
0 0 104 0.000488985
0 0 105 0.000474054
0 0 106 0.000451098
