epoch batch k value what
0 0 0 1.54193 diff
0 0 0 0.575806 norm
0 0 1 1.53861 diff
0 0 1 0.701254 norm
0 0 2 1.57964 diff
0 0 2 0.757334 norm
0 0 3 1.58645 diff
0 0 3 0.803062 norm
0 0 4 1.57903 diff
0 0 4 0.840515 norm
0 0 5 1.56899 diff
0 0 5 0.869333 norm
0 0 6 1.56427 diff
0 0 6 0.874882 norm
0 0 7 1.54965 diff
0 0 7 0.860892 norm
0 0 8 1.5374 diff
0 0 8 0.896116 norm
0 0 9 1.53196 diff
0 0 9 0.899422 norm
0 0 10 0.964027 diff
0 0 10 0.917885 norm
0 0 11 0.643603 diff
0 0 11 1.09654 norm
0 0 12 0.445702 diff
0 0 12 1.22026 norm
0 0 13 0.317649 diff
0 0 13 1.2962 norm
0 0 14 0.231459 diff
0 0 14 1.34201 norm
0 0 15 0.17162 diff
0 0 15 1.36955 norm
0 0 16 0.129005 diff
0 0 16 1.38592 norm
0 0 17 0.0979697 diff
0 0 17 1.39545 norm
0 0 18 0.0749699 diff
0 0 18 1.40084 norm
0 0 19 0.0577703 diff
0 0 19 1.4038 norm
0 0 20 0.0449201 diff
0 0 20 1.4054 norm
0 0 21 0.0354111 diff
0 0 21 1.40626 norm
0 0 22 0.0284791 diff
0 0 22 1.40674 norm
0 0 23 0.0235079 diff
0 0 23 1.40703 norm
0 0 24 0.0199927 diff
0 0 24 1.40723 norm
0 0 25 0.0175314 diff
0 0 25 1.40738 norm
0 0 26 0.0158187 diff
0 0 26 1.4075 norm
0 0 27 0.0146336 diff
0 0 27 1.40761 norm
0 0 28 0.0138208 diff
0 0 28 1.4077 norm
0 0 29 0.0132711 diff
0 0 29 1.40777 norm
0 0 30 0.012907 diff
0 0 30 1.40783 norm
0 0 31 0.0126722 diff
0 0 31 1.40788 norm
0 0 32 0.0125258 diff
0 0 32 1.40792 norm
0 0 33 0.0124381 diff
0 0 33 1.40795 norm
0 0 34 0.0123881 diff
0 0 34 1.40797 norm
0 0 35 0.0123616 diff
0 0 35 1.40799 norm
0 0 36 0.0123489 diff
0 0 36 1.408 norm
0 0 37 0.0123439 diff
0 0 37 1.40801 norm
0 0 38 0.012343 diff
0 0 38 1.40801 norm
0 0 39 0.0123438 diff
0 0 39 1.40801 norm
0 0 40 0.0123452 diff
0 0 40 1.40802 norm
0 0 41 0.0123465 diff
0 0 41 1.40802 norm
0 0 42 0.0123476 diff
0 0 42 1.40802 norm
0 0 43 0.0123484 diff
0 0 43 1.40802 norm
0 0 44 0.0123489 diff
0 0 44 1.40802 norm
0 0 45 0.0123491 diff
0 0 45 1.40802 norm
0 0 46 0.0123492 diff
0 0 46 1.40802 norm
0 0 47 0.0123492 diff
0 0 47 1.40802 norm
0 0 48 0.0123491 diff
0 0 48 1.40802 norm
0 0 49 0.012349 diff
0 0 49 1.40802 norm
0 0 50 0.0123488 diff
0 0 50 1.40802 norm
0 0 51 0.0123487 diff
0 0 51 1.40802 norm
0 0 52 0.0123486 diff
0 0 52 1.40802 norm
0 0 53 0.0123485 diff
0 0 53 1.40802 norm
0 0 54 0.0123485 diff
0 0 54 1.40802 norm
0 0 55 0.0123484 diff
0 0 55 1.40802 norm
0 0 56 0.0123484 diff
0 0 56 1.40802 norm
0 0 57 0.0123483 diff
0 0 57 1.40802 norm
0 0 58 0.0123483 diff
0 0 58 1.40802 norm
0 0 59 0.0123483 diff
0 0 59 1.40802 norm
0 0 60 0.0123483 diff
0 0 60 1.40802 norm
0 0 61 0.0123483 diff
0 0 61 1.40802 norm
0 0 62 0.0123483 diff
0 0 62 1.40802 norm
0 0 63 0.0123483 diff
0 0 63 1.40802 norm
0 0 64 0.0123483 diff
0 0 64 1.40802 norm
0 0 65 0.0123483 diff
0 0 65 1.40802 norm
0 0 66 0.0123483 diff
0 0 66 1.40802 norm
0 0 67 0.0123483 diff
0 0 67 1.40802 norm
0 0 68 0.0123483 diff
0 0 68 1.40802 norm
0 0 69 0.0123483 diff
0 0 69 1.40802 norm
0 0 70 0.0123483 diff
0 0 70 1.40802 norm
0 0 71 0.0123483 diff
0 0 71 1.40802 norm
0 0 72 0.0123483 diff
0 0 72 1.40802 norm
0 0 73 0.0123483 diff
0 0 73 1.40802 norm
0 0 74 0.0123483 diff
0 0 74 1.40802 norm
0 0 75 0.0123483 diff
0 0 75 1.40802 norm
0 0 76 0.0123483 diff
0 0 76 1.40802 norm
0 0 77 0.0123483 diff
0 0 77 1.40802 norm
0 0 78 0.0123483 diff
0 0 78 1.40802 norm
0 0 79 0.0123483 diff
0 0 79 1.40802 norm
0 0 80 0.0123483 diff
0 0 80 1.40802 norm
0 0 81 0.0123483 diff
0 0 81 1.40802 norm
0 0 82 0.0123483 diff
0 0 82 1.40802 norm
0 0 83 0.0123483 diff
0 0 83 1.40802 norm
0 0 84 0.0123483 diff
0 0 84 1.40802 norm
0 0 85 0.0123483 diff
0 0 85 1.40802 norm
0 0 86 0.0123483 diff
0 0 86 1.40802 norm
0 0 87 0.0123483 diff
0 0 87 1.40802 norm
0 0 88 0.0123483 diff
0 0 88 1.40802 norm
0 0 89 0.0123483 diff
0 0 89 1.40802 norm
0 0 90 0.0123483 diff
0 0 90 1.40802 norm
0 0 91 0.0123483 diff
0 0 91 1.40802 norm
0 0 92 0.0123483 diff
0 0 92 1.40802 norm
0 0 93 0.0123483 diff
0 0 93 1.40802 norm
0 0 94 0.0123483 diff
0 0 94 1.40802 norm
0 0 95 0.0123483 diff
0 0 95 1.40802 norm
0 0 96 0.0123483 diff
0 0 96 1.40802 norm
0 0 97 0.0123483 diff
0 0 97 1.40802 norm
0 0 98 0.0123483 diff
0 0 98 1.40802 norm
0 0 99 0.0123483 diff
0 0 99 1.40802 norm
0 0 100 0.0123483 diff
0 0 100 1.40802 norm
0 0 101 0.0123483 diff
0 0 101 1.40802 norm
0 0 102 0.0123483 diff
0 0 102 1.40802 norm
0 0 103 0.0123483 diff
0 0 103 1.40802 norm
0 0 104 0.0123483 diff
0 0 104 1.40802 norm
0 0 105 0.0123483 diff
0 0 105 1.40802 norm
0 0 106 0.0123483 diff
0 0 106 1.40802 norm
0 0 107 0.0123483 diff
0 0 107 1.40802 norm
0 0 108 0.0123483 diff
0 0 108 1.40802 norm
0 0 109 0.681571 diff
0 0 109 1.36631 norm
0 0 110 0.325164 diff
0 0 110 1.34125 norm
0 0 111 0.186233 diff
0 0 111 1.37227 norm
0 0 112 0.117907 diff
0 0 112 1.39741 norm
0 0 113 0.0781292 diff
0 0 113 1.40914 norm
0 0 114 0.0519434 diff
0 0 114 1.41265 norm
0 0 115 0.0336665 diff
0 0 115 1.41258 norm
0 0 116 0.0206992 diff
0 0 116 1.41141 norm
0 0 117 0.0114429 diff
0 0 117 1.41022 norm
0 0 118 0.00479684 diff
0 0 118 1.40931 norm
0 0 119 0.0 diff
0 0 119 1.4087 norm
0 500 0 7.53824 diff
0 500 0 1.30428 norm
0 500 1 7.15815 diff
0 500 1 2.78501 norm
0 500 2 6.97044 diff
0 500 2 4.57726 norm
0 500 3 7.14259 diff
0 500 3 6.33445 norm
0 500 4 7.64914 diff
0 500 4 7.97607 norm
0 500 5 8.33319 diff
0 500 5 9.46246 norm
0 500 6 9.06308 diff
0 500 6 10.7973 norm
0 500 7 9.86052 diff
0 500 7 12.0434 norm
0 500 8 10.6311 diff
0 500 8 13.1565 norm
0 500 9 11.3442 diff
0 500 9 14.1472 norm
0 500 10 11.5996 diff
0 500 10 14.6797 norm
0 500 11 12.0046 diff
0 500 11 15.3051 norm
0 500 12 12.5061 diff
0 500 12 15.9846 norm
0 500 13 13.0573 diff
0 500 13 16.6833 norm
0 500 14 13.6286 diff
0 500 14 17.379 norm
0 500 15 14.2036 diff
0 500 15 18.0598 norm
0 500 16 14.7735 diff
0 500 16 18.7203 norm
0 500 17 15.3337 diff
0 500 17 19.3581 norm
0 500 18 15.8817 diff
0 500 18 19.9726 norm
0 500 19 16.4159 diff
0 500 19 20.5638 norm
0 500 20 16.9355 diff
0 500 20 21.132 norm
0 500 21 17.4397 diff
0 500 21 21.6777 norm
0 500 22 17.9279 diff
0 500 22 22.2011 norm
0 500 23 18.3997 diff
0 500 23 22.7025 norm
0 500 24 18.8544 diff
0 500 24 23.1818 norm
0 500 25 19.2914 diff
0 500 25 23.6388 norm
