epoch batch time
0 0 0.0
0 150 788.390000105
0 300 735.93581295
0 450 786.33058095
0 600 25.7735359669
0 750 833.46954608
0 900 21.7879669666
0 1050 847.548414946
0 1200 792.953317165
0 1350 799.670634031
0 1500 794.739964008
0 1650 769.99579978
0 1800 891.696380138
0 1950 25.138561964
0 2100 770.363430977
0 2250 22.1476130486
0 2400 809.287899017
0 2550 27.5699329376
0 2700 721.653516054
0 2850 20.8762660027
0 3000 19.7579948902
0 3150 23.7001180649
0 3300 20.8937869072
0 3450 20.7153601646
0 3600 24.903277874
0 3750 20.9390571117
0 3900 756.952342987
0 4050 23.7823829651
0 4200 19.7345590591
0 4350 20.0573458672
0 4500 20.2912580967
0 4650 25.0998558998
0 4800 20.9519240856
0 4950 21.0915660858
1 0 0.0
1 150 26.645843029
1 300 24.1271319389
1 450 24.1355941296
1 600 27.1055939198
1 750 23.9702370167
1 900 23.7384469509
1 1050 26.7802989483
1 1200 23.695993185
1 1350 23.7704899311
1 1500 23.6813910007
1 1650 943.87984705
1 1800 21.4958570004
1 1950 20.5912368298
1 2100 24.3978970051
1 2250 21.4664411545
1 2400 21.1284210682
1 2550 24.2869129181
1 2700 20.9481370449
1 2850 21.0849368572
1 3000 21.0208101273
1 3150 24.6497199535
1 3300 21.1282110214
1 3450 21.2450048923
1 3600 24.0556881428
1 3750 20.8814899921
1 3900 21.0266568661
1 4050 23.8534181118
1 4200 21.0163240433
1 4350 20.4411599636
1 4500 20.4449648857
1 4650 23.7691810131
1 4800 21.3390390873
1 4950 21.1224200726
2 0 0.0
2 150 24.565885067
2 300 21.7912228107
2 450 22.5840940475
2 600 890.205461979
2 750 21.1205511093
2 900 20.3171100616
2 1050 23.361371994
2 1200 19.7352290154
2 1350 20.855358839
2 1500 823.651113987
2 1650 24.279638052
2 1800 19.733700037
2 1950 20.6491000652
2 2100 24.4825088978
2 2250 20.7770149708
2 2400 20.7685739994
2 2550 23.8885850906
2 2700 20.8472208977
2 2850 20.6976089478
2 3000 20.9314351082
2 3150 24.2754240036
2 3300 21.0674479008
2 3450 20.7674591541
2 3600 817.774566889
2 3750 23.2561509609
2 3900 23.3977591991
2 4050 26.7283368111
2 4200 23.4072811604
2 4350 22.4800288677
2 4500 20.582141161
2 4650 24.2715768814
2 4800 21.5479669571
2 4950 20.6260039806
3 0 0.0
3 150 24.8476741314
3 300 20.7943530083
3 450 20.4878308773
3 600 23.8490951061
3 750 21.582171917
3 900 20.8109190464
3 1050 24.0333988667
3 1200 20.8424839973
3 1350 20.7148230076
3 1500 20.6848311424
3 1650 23.6688418388
3 1800 20.9830441475
3 1950 20.8516540527
3 2100 23.8247640133
3 2250 20.7574617863
3 2400 21.0186991692
3 2550 24.0764739513
3 2700 20.4481110573
3 2850 20.8494539261
3 3000 20.9411890507
3 3150 23.596296072
3 3300 20.9831697941
3 3450 21.0898091793
3 3600 23.9705410004
3 3750 21.072177887
3 3900 21.2351090908
3 4050 23.8179929256
3 4200 20.7060809135
3 4350 20.8774490356
3 4500 20.7462611198
3 4650 23.8951039314
3 4800 20.4832220078
3 4950 21.4839019775
4 0 9.53674316406e-07
4 150 26.6598420143
4 300 23.5584139824
4 450 23.5179550648
4 600 26.6747090816
4 750 23.7636229992
4 900 23.3945569992
4 1050 26.6379818916
4 1200 23.5460319519
4 1350 23.4657461643
4 1500 23.3858039379
4 1650 26.5295879841
4 1800 20.6406610012
4 1950 20.9505579472
4 2100 23.9474289417
4 2250 21.024502039
4 2400 20.4269149303
4 2550 24.0450651646
4 2700 20.5077638626
4 2850 20.1198861599
4 3000 20.3937389851
4 3150 24.1670329571
4 3300 20.8917710781
4 3450 20.6778788567
4 3600 24.2652859688
4 3750 20.7844970226
4 3900 20.8725180626
4 4050 23.9642560482
4 4200 21.2664308548
4 4350 20.3540070057
4 4500 20.6164140701
4 4650 24.253633976
4 4800 20.4987549782
4 4950 20.6620531082
5 0 0.0
5 150 24.1819601059
5 300 20.923265934
5 450 20.629668951
5 600 24.3140141964
5 750 21.3662819862
5 900 19.9576609135
5 1050 23.7485070229
5 1200 20.4284539223
5 1350 20.8559980392
5 1500 20.0883629322
5 1650 23.6007730961
5 1800 21.9933199883
5 1950 23.3937768936
5 2100 26.5227332115
5 2250 23.3770029545
5 2400 23.3229999542
5 2550 26.4437038898
5 2700 23.2003250122
5 2850 23.3231129646
5 3000 23.35602808
5 3150 26.454365015
5 3300 23.3164410591
5 3450 23.0987269878
5 3600 26.3493819237
5 3750 23.3360741138
5 3900 23.1606299877
5 4050 26.2348639965
5 4200 23.7744698524
5 4350 23.4091620445
5 4500 23.2971611023
5 4650 26.270154953
5 4800 23.3546209335
5 4950 23.1715950966
6 0 9.53674316406e-07
6 150 26.1633079052
6 300 22.9576261044
6 450 23.1386680603
6 600 26.2341170311
6 750 23.3715748787
6 900 23.216711998
6 1050 26.021750927
6 1200 23.2771441936
6 1350 23.3206310272
6 1500 23.1769177914
6 1650 26.3678641319
6 1800 721.712393045
6 1950 23.1684648991
6 2100 26.0586791039
6 2250 23.2914328575
6 2400 23.3459401131
6 2550 26.236935854
6 2700 23.175162077
6 2850 23.1945021152
6 3000 23.200042963
6 3150 26.3795268536
6 3300 23.2411551476
6 3450 23.1829779148
6 3600 26.0636920929
6 3750 23.298432827
6 3900 23.3001520634
6 4050 26.2122981548
6 4200 23.1761548519
6 4350 23.2973020077
6 4500 23.1264169216
6 4650 26.1868979931
6 4800 23.1869981289
6 4950 23.146807909
7 0 0.0
7 150 26.1975619793
7 300 23.2292881012
7 450 23.1900379658
7 600 26.2439329624
7 750 23.1431860924
7 900 23.2542328835
7 1050 26.4152991772
