epoch batch train_cost
0 0 2.22271
0 150 0.526894
0 300 0.290589
0 450 0.211857
0 600 0.678583
0 750 0.185756
0 900 0.187788
0 1050 0.177561
0 1200 0.174391
0 1350 0.173467
0 1500 0.172277
0 1650 0.173173
0 1800 0.17339
0 1950 0.172815
0 2100 0.173047
0 2250 0.172966
0 2400 0.173263
0 2550 0.172795
0 2700 0.173073
0 2850 0.172996
0 3000 0.17305
0 3150 0.172926
0 3300 0.173037
0 3450 0.172722
0 3600 0.172986
0 3750 4.37216
0 3900 0.173247
0 4050 0.173221
0 4200 0.1731
0 4350 0.172635
0 4500 0.173363
0 4650 0.173056
0 4800 0.173439
0 4950 0.172688
1 0 0.173135
1 150 0.172964
1 300 0.17339
1 450 0.173297
1 600 0.172893
1 750 0.173007
1 900 0.173245
1 1050 0.172882
1 1200 0.173317
1 1350 0.173015
1 1500 0.172928
1 1650 0.173583
1 1800 0.173292
1 1950 0.172991
1 2100 0.173092
1 2250 0.17287
1 2400 0.17316
1 2550 0.172923
1 2700 0.17328
1 2850 0.173015
1 3000 0.173366
1 3150 0.172707
1 3300 0.173643
1 3450 0.173429
1 3600 0.173186
1 3750 0.173323
1 3900 0.173299
1 4050 0.17308
1 4200 0.173121
1 4350 0.173447
1 4500 0.17276
1 4650 0.173046
1 4800 0.173409
1 4950 0.173225
2 0 0.172484
2 150 0.173424
2 300 0.173434
2 450 0.173166
2 600 0.17341
2 750 0.17336
2 900 0.17227
2 1050 0.172878
2 1200 0.17315
2 1350 0.173183
2 1500 0.173049
2 1650 0.17313
2 1800 0.173193
2 1950 0.173295
2 2100 0.173233
2 2250 0.173246
2 2400 0.17328
2 2550 0.173122
2 2700 0.172982
2 2850 0.173039
2 3000 0.173084
2 3150 0.173111
2 3300 0.173227
2 3450 0.173321
2 3600 0.173308
2 3750 0.173107
2 3900 0.173133
2 4050 0.173174
2 4200 0.172803
2 4350 0.17286
2 4500 0.172867
2 4650 0.17304
2 4800 0.173283
2 4950 0.17339
3 0 0.172715
3 150 0.173059
3 300 0.173452
3 450 0.173225
3 600 0.173066
3 750 0.17361
3 900 0.173058
3 1050 0.173201
3 1200 0.173202
3 1350 0.172867
3 1500 0.173141
3 1650 0.173096
3 1800 0.1732
3 1950 0.173262
3 2100 0.173096
3 2250 0.173083
3 2400 0.172937
3 2550 0.173324
3 2700 0.173053
3 2850 0.172955
3 3000 0.173081
3 3150 0.173364
3 3300 0.173174
3 3450 0.173263
3 3600 0.173089
3 3750 0.173093
3 3900 0.173183
3 4050 0.173211
3 4200 0.17304
3 4350 0.173222
3 4500 0.172579
3 4650 0.17281
3 4800 0.17362
3 4950 0.173283
4 0 0.173838
4 150 0.172927
4 300 0.173268
4 450 0.173315
4 600 0.173309
4 750 0.173315
4 900 0.173215
4 1050 0.173141
4 1200 0.173302
4 1350 0.173237
4 1500 0.173083
4 1650 0.173341
4 1800 0.173166
4 1950 0.172985
4 2100 0.172613
4 2250 0.173087
4 2400 0.173014
4 2550 0.173088
4 2700 0.173165
4 2850 0.173104
4 3000 0.172856
4 3150 0.173227
4 3300 0.173261
4 3450 0.17336
4 3600 0.173061
4 3750 0.173364
4 3900 0.173017
4 4050 0.173039
4 4200 0.173176
4 4350 0.173145
4 4500 0.173335
4 4650 0.173304
4 4800 0.173438
4 4950 0.172732
5 0 0.173019
5 150 0.173141
5 300 0.173331
5 450 0.173237
5 600 0.173263
5 750 0.173351
5 900 0.173412
5 1050 0.173296
5 1200 0.173268
5 1350 0.173326
5 1500 0.173003
5 1650 0.173093
5 1800 0.172977
5 1950 0.173083
5 2100 0.173089
5 2250 0.173041
5 2400 0.173213
5 2550 0.173499
5 2700 0.172989
5 2850 0.173552
