epoch batch vali_cost
0 0 2.22384
0 150 0.52512
0 300 0.290715
0 450 0.21188
0 600 0.670669
0 750 0.186119
0 900 0.188425
0 1050 0.177542
0 1200 0.174581
0 1350 0.173752
0 1500 0.173572
0 1650 0.17343
0 1800 0.173401
0 1950 0.173496
0 2100 0.173378
0 2250 0.173428
0 2400 0.17336
0 2550 0.173413
0 2700 0.173348
0 2850 0.173353
0 3000 0.173397
0 3150 0.173383
0 3300 0.173348
0 3450 0.173419
0 3600 0.173367
0 3750 4.36698
0 3900 0.173311
0 4050 0.173324
0 4200 0.17333
0 4350 0.173448
0 4500 0.173333
0 4650 0.173328
0 4800 0.17339
0 4950 0.173498
1 0 0.173344
1 150 0.173355
1 300 0.173328
1 450 0.173326
1 600 0.173344
1 750 0.173318
1 900 0.173343
1 1050 0.173319
1 1200 0.173339
1 1350 0.173377
1 1500 0.173382
1 1650 0.173301
1 1800 0.173393
1 1950 0.173348
1 2100 0.173346
1 2250 0.173412
1 2400 0.173308
1 2550 0.173338
1 2700 0.173372
1 2850 0.173357
1 3000 0.173309
1 3150 0.173422
1 3300 0.173311
1 3450 0.173323
1 3600 0.17334
1 3750 0.173362
1 3900 0.173335
1 4050 0.173342
1 4200 0.173337
1 4350 0.173354
1 4500 0.173425
1 4650 0.173332
1 4800 0.173382
1 4950 0.17335
2 0 0.173384
2 150 0.17336
2 300 0.173323
2 450 0.173371
2 600 0.173298
2 750 0.173322
2 900 0.173466
2 1050 0.173339
2 1200 0.173363
2 1350 0.17331
2 1500 0.173298
2 1650 0.173345
2 1800 0.17332
2 1950 0.173353
2 2100 0.173315
2 2250 0.173349
2 2400 0.173308
2 2550 0.173299
2 2700 0.173346
2 2850 0.173313
2 3000 0.173322
2 3150 0.173327
2 3300 0.173338
2 3450 0.173371
2 3600 0.173294
2 3750 0.173327
2 3900 0.173308
2 4050 0.17332
2 4200 0.173336
2 4350 0.173375
2 4500 0.17333
2 4650 0.173327
2 4800 0.173334
2 4950 0.173339
3 0 0.173383
3 150 0.173354
3 300 0.173296
3 450 0.173325
3 600 0.173387
3 750 0.173373
3 900 0.173357
3 1050 0.173324
3 1200 0.173332
3 1350 0.173341
3 1500 0.17332
3 1650 0.173334
3 1800 0.173333
3 1950 0.173307
3 2100 0.173302
3 2250 0.173319
3 2400 0.173352
3 2550 0.173341
3 2700 0.173388
3 2850 0.173375
3 3000 0.173326
3 3150 0.173308
3 3300 0.173329
3 3450 0.173405
3 3600 0.173346
3 3750 0.17331
3 3900 0.173312
3 4050 0.173324
3 4200 0.173321
3 4350 0.173317
3 4500 0.173388
3 4650 0.173339
3 4800 0.173342
3 4950 0.173361
4 0 0.173348
4 150 0.173341
4 300 0.173315
4 450 0.173375
4 600 0.1733
4 750 0.173351
4 900 0.173355
4 1050 0.173346
4 1200 0.17334
4 1350 0.173355
4 1500 0.173343
4 1650 0.173296
4 1800 0.173344
4 1950 0.173367
4 2100 0.173485
4 2250 0.173345
4 2400 0.17341
4 2550 0.173306
4 2700 0.173369
4 2850 0.173344
4 3000 0.173344
4 3150 0.17331
4 3300 0.173362
4 3450 0.173315
4 3600 0.173324
4 3750 0.173312
4 3900 0.173314
4 4050 0.173333
4 4200 0.173313
4 4350 0.173314
4 4500 0.173315
4 4650 0.173328
4 4800 0.173326
4 4950 0.173388
5 0 0.17337
5 150 0.173416
5 300 0.173325
5 450 0.17331
5 600 0.173342
5 750 0.173309
5 900 0.173328
5 1050 0.173331
5 1200 0.173302
5 1350 0.17339
5 1500 0.173358
5 1650 0.173341
5 1800 0.173322
5 1950 0.173323
5 2100 0.17339
5 2250 0.173387
5 2400 0.173333
5 2550 0.173315
5 2700 0.173327
5 2850 0.173305
5 3000 0.173326
5 3150 0.173347
5 3300 0.173318
5 3450 0.173322
5 3600 0.173367
5 3750 0.17331
5 3900 0.173319
5 4050 0.173337
5 4200 0.17331
5 4350 0.173329
5 4500 0.173339
5 4650 0.173325
5 4800 0.173309
5 4950 0.173344
6 0 0.173325
6 150 0.173336
6 300 0.173299
6 450 0.17331
6 600 0.173366
6 750 0.173334
6 900 0.173326
6 1050 0.17336
6 1200 0.173327
6 1350 0.173377
6 1500 0.173364
6 1650 0.173342
6 1800 0.173291
6 1950 0.173341
6 2100 0.173298
6 2250 0.173326
6 2400 0.173327
6 2550 0.173307
6 2700 0.173341
6 2850 0.173315
6 3000 0.173361
6 3150 0.173324
6 3300 0.173351
6 3450 0.173343
6 3600 0.17331
6 3750 0.173439
6 3900 0.17332
6 4050 0.173381
6 4200 0.173351
6 4350 0.173308
6 4500 0.173311
6 4650 0.173311
6 4800 0.173373
6 4950 0.173342
7 0 0.173302
7 150 0.173336
7 300 0.173351
