epoch batch time
0 0 9.53674316406e-07
0 150 318.419161081
0 300 336.836483955
0 450 335.031685829
0 600 331.502659082
0 750 339.873897076
0 900 217.108618975
0 1050 339.357470989
0 1200 225.775446892
0 1350 333.720565081
0 1500 319.641325951
0 1650 208.504006147
0 1800 309.244378805
0 1950 328.956240177
0 2100 218.785327911
0 2250 313.874507904
0 2400 308.798101187
0 2550 219.675644875
0 2700 209.446120977
0 2850 225.355394125
0 3000 321.461693048
0 3150 211.747442961
0 3300 220.178834915
0 3450 319.473583937
0 3600 226.113829136
0 3750 220.915974855
0 3900 219.617713213
0 4050 211.670981884
0 4200 205.431549072
0 4350 212.434739828
0 4500 217.932815075
0 4650 317.692064047
0 4800 230.939377069
0 4950 321.026781797
1 0 0.0
1 150 223.560775042
1 300 323.165262938
1 450 215.431607008
1 600 211.488348961
1 750 209.324681997
1 900 295.027848005
1 1050 314.42238307
1 1200 222.44064188
1 1350 218.538046122
1 1500 207.745831966
1 1650 222.297206879
1 1800 221.862722158
1 1950 311.500929832
1 2100 216.358824015
1 2250 218.620684147
1 2400 220.04082799
1 2550 199.898381948
1 2700 188.629146099
1 2850 219.556725979
1 3000 222.469344854
1 3150 220.562190056
1 3300 220.898617983
1 3450 228.168373108
1 3600 220.057816029
1 3750 236.50571084
1 3900 206.661303997
1 4050 331.177363157
1 4200 331.465512991
1 4350 265.130298853
1 4500 267.422716141
1 4650 182.413839817
1 4800 262.559960127
1 4950 264.220223904
2 0 0.0
2 150 261.59258604
2 300 260.098918915
2 450 246.069761992
2 600 248.747114897
2 750 251.223685026
2 900 251.623874187
2 1050 247.612238884
2 1200 171.762028933
2 1350 172.596620083
2 1500 171.529615879
2 1650 247.787149191
2 1800 251.274845839
2 1950 251.647783995
2 2100 251.004379034
2 2250 254.632379055
2 2400 244.232405901
2 2550 250.580772161
2 2700 256.613884926
2 2850 173.998975992
2 3000 185.337040901
2 3150 176.506846189
2 3300 186.754508972
2 3450 181.536077023
2 3600 183.923107862
2 3750 181.388446093
2 3900 186.44658494
2 4050 183.340964079
2 4200 185.75105691
2 4350 187.63044405
2 4500 183.440133095
2 4650 187.635447979
2 4800 185.453442812
2 4950 186.403763056
3 0 0.0
3 150 186.130556107
3 300 183.378083944
3 450 186.711285114
3 600 183.788331032
3 750 178.684794903
3 900 187.829032898
3 1050 187.229482174
3 1200 188.650183916
3 1350 187.69362998
3 1500 179.627173901
3 1650 185.976861
3 1800 188.401890039
3 1950 190.015112162
3 2100 190.345698833
3 2250 189.442622185
3 2400 178.756577969
3 2550 187.27349782
3 2700 190.549134016
3 2850 188.299623013
3 3000 173.329511166
3 3150 171.78502202
3 3300 176.472137928
3 3450 174.220668077
3 3600 252.959557772
3 3750 259.263836145
3 3900 249.32169199
3 4050 248.828693867
3 4200 254.625618219
3 4350 247.714323997
3 4500 252.756531954
3 4650 254.874853849
3 4800 175.788226128
3 4950 250.104141951
4 0 9.53674316406e-07
4 150 251.497679949
4 300 172.499927998
4 450 253.090748072
4 600 255.497496843
4 750 246.198738098
4 900 175.895691872
4 1050 253.445416212
4 1200 259.305527925
4 1350 253.134013891
4 1500 251.053720951
4 1650 173.789247036
4 1800 248.339171171
4 1950 248.651721001
4 2100 252.663402796
4 2250 252.647117138
4 2400 256.474123001
4 2550 180.409404993
4 2700 261.148019075
4 2850 263.106269836
4 3000 172.700993061
4 3150 172.65378809
4 3300 171.829927921
4 3450 172.283688068
4 3600 173.669271946
4 3750 173.028054953
4 3900 248.515253067
4 4050 250.370230913
4 4200 175.747713089
4 4350 175.248718023
4 4500 253.562779903
4 4650 174.597788095
4 4800 176.788185835
4 4950 180.351142168
5 0 9.53674316406e-07
5 150 182.078748941
5 300 182.187885046
5 450 181.914110184
5 600 181.921857834
5 750 181.103601933
5 900 175.708307028
5 1050 175.248087168
5 1200 173.568506956
5 1350 173.787425995
5 1500 176.437813997
5 1650 181.807564974
5 1800 180.183969975
5 1950 280.162571907
5 2100 176.172160149
5 2250 177.093852043
5 2400 181.930435896
5 2550 182.75803709
5 2700 178.005316019
5 2850 176.821009874
5 3000 253.370746136
5 3150 177.463522911
5 3300 181.881073952
5 3450 181.987017155
5 3600 259.011283875
5 3750 253.939521074
5 3900 177.985879898
5 4050 260.762915134
5 4200 259.053612947
5 4350 253.245569944
5 4500 174.414745092
5 4650 174.371343851
5 4800 250.481788158
5 4950 256.654691935
6 0 9.53674316406e-07
6 150 174.378690004
6 300 252.250038147
6 450 250.968020916
6 600 175.536304951
6 750 252.370929003
6 900 175.606262922
6 1050 253.391801119
6 1200 247.581614971
6 1350 255.78572011
6 1500 257.460306883
6 1650 257.165905952
6 1800 177.131505966
6 1950 253.262122154
6 2100 174.30990386
6 2250 251.596940041
6 2400 252.220886946
6 2550 256.945553064
6 2700 251.01661706
6 2850 175.447030067
6 3000 250.084736824
6 3150 252.650790215
6 3300 173.676223993
6 3450 173.490718842
6 3600 248.133159161
6 3750 175.066480875
6 3900 254.196123123
6 4050 253.458192825
6 4200 253.384799004
6 4350 253.765875101
6 4500 175.105359077
6 4650 250.938371897
6 4800 256.680806875
6 4950 175.400995016
7 0 9.53674316406e-07
7 150 252.524260998
7 300 256.885087013
7 450 250.418939829
7 600 254.13017416
7 750 254.530948877
7 900 173.981059074
7 1050 255.597632885
7 1200 173.639192104
7 1350 173.544435978
7 1500 173.74852705
7 1650 172.315886021
7 1800 173.973455906
7 1950 175.896320105
7 2100 251.77688098
7 2250 177.172600985
7 2400 176.262225866
7 2550 253.132184029
7 2700 250.770713091
7 2850 173.99077487
7 3000 174.252051115
7 3150 174.654676914
7 3300 249.80855298
7 3450 172.71726203
7 3600 252.807293177
7 3750 173.063542843
7 3900 248.036154985
7 4050 175.296576023
7 4200 175.281263113
7 4350 174.74653697
7 4500 172.988128901
7 4650 250.377750158
7 4800 173.67847681
7 4950 251.47975111
8 0 9.53674316406e-07
8 150 176.345586061
8 300 253.307106972
8 450 175.395025969
8 600 255.480843067
8 750 257.2919209
8 900 248.332116127
8 1050 177.340282917
8 1200 252.066457987
8 1350 254.664230108
8 1500 256.118643045
8 1650 255.771440983
8 1800 252.408487797
8 1950 252.303153038
8 2100 178.058735132
8 2250 252.225409985
8 2400 251.281146049
8 2550 251.850272894
8 2700 173.881868124
8 2850 251.518366814
8 3000 255.014894009
8 3150 176.554147959
8 3300 250.227305174
8 3450 250.384781837
8 3600 251.327190161
8 3750 254.079880953
8 3900 175.737324953
8 4050 245.507965088
8 4200 173.694565058
8 4350 249.811346769
8 4500 177.330211163
8 4650 252.424205065
8 4800 255.511650801
8 4950 251.639664173
9 0 9.53674316406e-07
9 150 251.255881071
9 300 251.439069986
9 450 248.25318408
9 600 174.469436884
9 750 175.279943943
9 900 173.689436197
9 1050 174.664204836
9 1200 252.774188042
9 1350 249.172210932
9 1500 174.382276058
9 1650 251.081660986
9 1800 257.231985092
9 1950 248.836691856
9 2100 173.913648129
9 2250 174.744979858
9 2400 249.796987057
9 2550 177.380998135
9 2700 176.55053401
9 2850 254.669411898
9 3000 175.680344105
9 3150 254.812180996
9 3300 246.627882957
9 3450 250.641654015
9 3600 253.574288845
9 3750 174.012341976
9 3900 255.931759119
9 4050 173.765700102
9 4200 173.562972784
9 4350 173.585534096
9 4500 251.661957979
9 4650 250.035362005
9 4800 250.089718103
9 4950 175.81487298
