epoch batch train_cost
0 0 1.06948
0 150 0.0670496
0 300 0.00663311
0 450 0.00175476
0 600 0.000572754
0 750 0.000204907
0 900 0.00112692
0 1050 3.98373e-05
0 1200 8.02106e-05
0 1350 1.5707e-05
0 1500 3.3166e-05
0 1650 1.28206e-05
0 1800 1.49005e-05
0 1950 6.65473e-06
0 2100 6.5068e-06
0 2250 2.10724e-05
0 2400 3.86705e-06
0 2550 5.31041e-06
0 2700 3.86221e-06
0 2850 2.11638e-05
0 3000 3.13516e-06
0 3150 2.23788e-06
0 3300 1.90847e-06
0 3450 1.51417e-06
0 3600 2.79691e-06
0 3750 1.45693e-06
0 3900 1.79734e-06
0 4050 1.13082e-06
0 4200 1.23582e-06
0 4350 3.76579e-06
0 4500 2.00363e-06
0 4650 7.66478e-07
0 4800 6.73402e-06
0 4950 5.48245e-07
1 0 5.98709e-07
1 150 3.60733e-05
1 300 5.90907e-07
1 450 9.42773e-07
1 600 5.84501e-07
1 750 2.68734e-06
1 900 4.76173e-07
1 1050 4.18762e-07
1 1200 4.56359e-07
1 1350 4.12652e-07
1 1500 5.44617e-07
1 1650 8.29118e-07
1 1800 2.98314e-07
1 1950 3.42421e-07
1 2100 2.40501e-07
1 2250 3.31737e-07
1 2400 4.60478e-07
1 2550 1.10679e-06
1 2700 3.65964e-07
1 2850 8.63097e-06
1 3000 2.20125e-06
1 3150 2.50435e-07
1 3300 3.29507e-07
1 3450 3.74895e-07
1 3600 2.67471e-07
1 3750 5.46938e-07
1 3900 3.00597e-07
1 4050 2.46858e-07
1 4200 2.33795e-07
1 4350 2.06924e-07
1 4500 1.88149e-07
1 4650 1.54871e-07
1 4800 1.44192e-07
1 4950 1.78315e-07
2 0 1.59093e-07
2 150 1.46626e-07
2 300 1.29093e-07
2 450 1.48762e-07
2 600 1.20202e-07
2 750 1.27106e-07
2 900 1.06642e-07
2 1050 1.17122e-07
2 1200 1.10467e-07
2 1350 9.3529e-08
2 1500 1.01774e-07
2 1650 1.06046e-07
2 1800 9.13932e-08
2 1950 1.02817e-07
2 2100 7.82803e-08
2 2250 7.35617e-08
2 2400 8.16579e-08
