epoch batch vali_cost
0 0 1.06782
0 150 0.0689023
0 300 0.00697128
0 450 0.00192437
0 600 0.000614669
0 750 0.000220216
0 900 0.000665926
0 1050 0.000151419
0 1200 0.00023605
0 1350 7.38437e-05
0 1500 2.64294e-05
0 1650 2.78897e-05
0 1800 2.51618e-05
0 1950 9.81305e-06
0 2100 1.45019e-05
0 2250 5.92193e-06
0 2400 4.40422e-06
0 2550 1.56263e-05
0 2700 8.53905e-06
0 2850 9.04785e-06
0 3000 3.51694e-06
0 3150 3.70079e-06
0 3300 4.13803e-06
0 3450 1.64981e-06
0 3600 4.39443e-06
0 3750 2.68517e-06
0 3900 1.24059e-05
0 4050 1.78186e-06
0 4200 1.82513e-06
0 4350 5.68559e-05
0 4500 1.34423e-05
0 4650 9.5159e-07
0 4800 1.06295e-05
0 4950 7.39831e-07
1 0 8.1278e-07
1 150 1.66858e-05
1 300 7.05638e-07
1 450 1.44853e-05
1 600 8.64531e-07
1 750 3.56327e-06
1 900 4.68162e-07
1 1050 4.19199e-07
1 1200 1.78831e-06
1 1350 5.18648e-06
1 1500 1.40362e-05
1 1650 6.45261e-06
1 1800 6.43385e-07
1 1950 2.82153e-07
1 2100 3.03001e-07
1 2250 4.86835e-07
1 2400 1.74927e-05
1 2550 1.73909e-05
1 2700 6.70834e-07
1 2850 6.34895e-05
1 3000 6.02025e-05
1 3150 4.43529e-07
1 3300 6.99585e-07
1 3450 7.39104e-07
1 3600 2.24966e-06
1 3750 3.26892e-07
1 3900 3.21402e-07
1 4050 2.50919e-07
1 4200 2.24953e-07
1 4350 2.08449e-07
1 4500 1.93407e-07
1 4650 1.98488e-07
1 4800 1.71247e-07
1 4950 1.5966e-07
2 0 1.58659e-07
2 150 1.48055e-07
2 300 1.4178e-07
2 450 1.41616e-07
2 600 1.29081e-07
2 750 1.23927e-07
2 900 1.1801e-07
2 1050 1.13153e-07
2 1200 6.05513e-07
2 1350 1.13623e-07
2 1500 1.14761e-07
2 1650 1.00378e-07
2 1800 9.58917e-08
2 1950 9.13297e-08
2 2100 8.96496e-08
2 2250 8.89862e-08
2 2400 8.63753e-08
2 2550 8.30585e-08
2 2700 8.03423e-08
2 2850 1.23011e-06
2 3000 2.64388e-07
2 3150 2.77514e-07
2 3300 1.42049e-05
2 3450 1.23824e-07
2 3600 1.1305e-07
2 3750 7.88569e-07
2 3900 1.22053e-07
2 4050 1.03151e-07
2 4200 1.02263e-07
