epoch batch time
0 0 0.0
0 150 15.6724121571
0 300 16.1876749992
0 450 15.7957229614
0 600 16.2571308613
0 750 16.8636670113
0 900 15.7233841419
0 1050 16.7268140316
0 1200 16.3440167904
0 1350 15.9500210285
0 1500 7.90159010887
0 1650 16.8194410801
0 1800 7.84495997429
0 1950 8.32917380333
0 2100 7.70362114906
0 2250 8.2834918499
0 2400 7.77835702896
0 2550 8.21960997581
0 2700 8.16736721992
0 2850 8.4975669384
0 3000 7.93823194504
0 3150 8.31026005745
0 3300 8.64934206009
0 3450 8.25388884544
0 3600 16.6912169456
0 3750 8.6141371727
0 3900 8.63434290886
0 4050 8.61716294289
0 4200 8.60715603828
0 4350 8.62467598915
0 4500 8.64628601074
0 4650 8.6429040432
0 4800 8.65536689758
0 4950 8.62042403221
1 0 9.53674316406e-07
1 150 8.71741890907
1 300 8.73499298096
1 450 8.74217295647
1 600 8.6671500206
1 750 8.67039895058
1 900 16.8008761406
1 1050 8.61673307419
1 1200 8.59647989273
1 1350 8.64000296593
1 1500 8.62032914162
1 1650 8.6118748188
1 1800 8.63539600372
1 1950 8.52261614799
1 2100 8.44492387772
1 2250 8.52130413055
1 2400 8.33358001709
1 2550 8.34123182297
1 2700 8.616574049
1 2850 8.53006005287
1 3000 17.1653289795
1 3150 8.43650007248
1 3300 7.87306499481
1 3450 8.42641997337
1 3600 8.01508402824
1 3750 8.53825187683
1 3900 8.09703803062
1 4050 8.30122804642
1 4200 7.99179005623
1 4350 8.48550987244
1 4500 8.07591605186
1 4650 8.03482699394
1 4800 8.52405691147
1 4950 8.59273719788
2 0 0.0
2 150 8.11529016495
2 300 8.34678196907
2 450 8.4946808815
2 600 8.63561606407
2 750 8.63145303726
2 900 8.56821990013
2 1050 8.62409210205
2 1200 8.76375603676
2 1350 8.70486187935
2 1500 8.59149694443
2 1650 8.63507819176
2 1800 8.65686488152
2 1950 8.65563702583
2 2100 8.71525597572
2 2250 8.67281007767
2 2400 8.65762495995
2 2550 8.67624807358
2 2700 8.6792948246
2 2850 8.64381599426
2 3000 8.64074707031
2 3150 8.6635389328
2 3300 8.61572003365
2 3450 8.59227705002
2 3600 17.7346880436
2 3750 8.71671485901
2 3900 8.70683813095
2 4050 8.70445203781
2 4200 8.62937283516
2 4350 8.56360697746
2 4500 8.56879019737
2 4650 8.6290948391
2 4800 8.7306201458
2 4950 8.76627802849
3 0 0.0
3 150 8.71413397789
3 300 8.60747694969
3 450 17.0094459057
3 600 8.68421196938
3 750 8.53602218628
3 900 8.58328104019
3 1050 8.5625269413
3 1200 8.70087599754
3 1350 8.72800588608
3 1500 8.60578298569
3 1650 8.63378715515
3 1800 8.64230084419
3 1950 8.59141612053
3 2100 8.59467291832
3 2250 8.54121613503
3 2400 8.31728792191
3 2550 8.34455609322
3 2700 8.40567183495
3 2850 8.1690299511
3 3000 8.63381505013
3 3150 8.47379302979
3 3300 8.41184997559
3 3450 8.37872695923
3 3600 8.50570416451
3 3750 8.45790481567
3 3900 7.99417614937
3 4050 8.18032097816
3 4200 7.79189395905
3 4350 7.94001603127
3 4500 7.9709610939
3 4650 7.76101779938
3 4800 7.96418499947
3 4950 8.2379090786
4 0 0.0
4 150 7.93987298012
4 300 8.22896504402
4 450 7.92162704468
4 600 8.15785098076
4 750 7.36452698708
4 900 7.947245121
4 1050 7.41387891769
4 1200 7.79953098297
4 1350 8.19255805016
4 1500 8.17580103874
4 1650 7.97474098206
4 1800 7.84312105179
4 1950 8.10411477089
4 2100 8.10319304466
4 2250 8.11779117584
4 2400 7.88956284523
4 2550 8.13509893417
4 2700 7.42403101921
4 2850 8.03024601936
4 3000 8.17762207985
4 3150 8.04336309433
4 3300 7.86901783943
4 3450 8.26794314384
4 3600 8.22470998764
4 3750 8.23815894127
4 3900 7.80964994431
4 4050 7.84357500076
4 4200 7.81307411194
4 4350 8.01699399948
4 4500 7.71659898758
4 4650 8.25389504433
4 4800 8.37629985809
4 4950 8.42069005966
5 0 9.53674316406e-07
5 150 8.45530700684
5 300 8.36177301407
5 450 7.94369482994
5 600 8.37741398811
5 750 8.36208200455
5 900 8.24710011482
5 1050 8.19935107231
5 1200 8.31233692169
5 1350 8.38773989677
5 1500 8.36206316948
5 1650 8.40037202835
5 1800 7.54864287376
5 1950 8.13725805283
5 2100 7.51837396622
5 2250 8.22502207756
5 2400 8.20193982124
5 2550 8.37402415276
5 2700 8.28940391541
5 2850 8.39711308479
5 3000 7.91886687279
5 3150 8.39619803429
5 3300 8.35485506058
5 3450 8.28210997581
5 3600 8.1727809906
5 3750 8.26053595543
5 3900 7.73507714272
