epoch batch train_cost
0 0 2.49493
0 150 0.480265
0 300 0.230053
0 450 0.199435
0 600 0.184845
0 750 0.17796
0 900 0.176702
0 1050 0.173678
0 1200 0.172638
0 1350 0.173323
0 1500 0.173005
0 1650 0.173021
0 1800 0.173293
0 1950 0.172543
0 2100 0.173067
0 2250 0.172516
0 2400 0.173041
0 2550 0.172802
0 2700 0.17289
0 2850 0.173023
0 3000 0.172448
0 3150 0.172445
0 3300 0.172785
0 3450 0.173353
0 3600 0.173045
0 3750 0.172336
0 3900 0.172729
0 4050 0.172816
0 4200 0.173028
0 4350 0.172853
0 4500 0.172491
0 4650 0.172912
0 4800 0.172959
0 4950 0.1731
1 0 0.173534
1 150 0.173334
1 300 0.172626
1 450 0.172681
1 600 0.173115
1 750 0.172721
1 900 0.173058
1 1050 0.17277
1 1200 0.172645
1 1350 0.173139
1 1500 0.172508
1 1650 0.173007
1 1800 0.172455
1 1950 0.172656
1 2100 0.173321
1 2250 0.172965
1 2400 0.173105
1 2550 0.173045
1 2700 0.173149
1 2850 0.173383
1 3000 0.172974
1 3150 0.172775
1 3300 0.172883
1 3450 0.172519
1 3600 0.173325
1 3750 0.172755
1 3900 0.173462
1 4050 0.172827
1 4200 0.173002
1 4350 0.172919
1 4500 0.172674
1 4650 0.173029
1 4800 0.173108
1 4950 0.172977
2 0 0.173344
2 150 0.172543
2 300 0.173051
2 450 0.173062
2 600 0.173103
2 750 0.173043
2 900 0.173289
2 1050 0.173068
2 1200 0.173318
2 1350 0.172882
2 1500 0.173207
2 1650 0.17305
2 1800 0.172754
2 1950 0.173354
2 2100 0.172769
2 2250 0.173284
2 2400 0.173427
2 2550 0.173195
2 2700 0.173206
2 2850 0.172971
2 3000 0.172473
2 3150 0.173207
2 3300 0.172736
2 3450 0.173082
2 3600 0.173204
2 3750 0.173486
2 3900 0.173153
2 4050 0.172827
2 4200 0.173001
2 4350 0.173192
2 4500 0.173385
2 4650 0.173204
2 4800 0.172925
2 4950 0.173263
3 0 0.173227
3 150 0.173258
3 300 0.173103
3 450 0.173463
3 600 0.17292
3 750 0.173406
3 900 0.173149
3 1050 0.173306
3 1200 0.173291
3 1350 0.173179
3 1500 0.173536
3 1650 0.173065
3 1800 0.173411
3 1950 0.173089
3 2100 0.173142
3 2250 0.173531
3 2400 0.173005
3 2550 0.172949
3 2700 0.173064
3 2850 0.173298
3 3000 0.173242
3 3150 0.172807
3 3300 0.173021
3 3450 0.172977
3 3600 0.173094
3 3750 0.173321
3 3900 0.173504
3 4050 0.173193
3 4200 0.173083
3 4350 0.173376
3 4500 0.173236
3 4650 0.173094
3 4800 0.173251
3 4950 0.173063
4 0 0.173236
4 150 0.172761
4 300 0.173156
4 450 0.17315
4 600 0.173228
4 750 0.173065
4 900 0.172987
4 1050 0.173247
4 1200 0.1735
4 1350 0.173619
4 1500 0.173319
4 1650 0.172684
4 1800 0.173177
4 1950 0.173009
4 2100 0.173284
4 2250 0.173561
4 2400 0.173066
4 2550 0.173155
4 2700 0.173215
4 2850 0.172759
4 3000 0.173241
4 3150 0.173217
4 3300 0.173247
4 3450 0.173247
4 3600 0.173544
4 3750 0.1732
4 3900 0.173329
4 4050 0.173189
4 4200 0.172795
4 4350 0.172972
4 4500 0.172983
4 4650 0.173111
4 4800 0.173135
4 4950 0.173207
5 0 0.173143
5 150 0.172818
5 300 0.17316
5 450 0.173055
5 600 0.173346
5 750 0.172963
5 900 0.173212
5 1050 0.173143
5 1200 0.173156
5 1350 0.173113
5 1500 0.172988
5 1650 0.173072
5 1800 0.173251
5 1950 0.17313
5 2100 0.173223
5 2250 0.172959
5 2400 0.173014
5 2550 0.173232
5 2700 0.173024
5 2850 0.17311
5 3000 0.173025
5 3150 0.173224
5 3300 0.173027
5 3450 0.173388
5 3600 0.173349
5 3750 0.173177
5 3900 0.17341
5 4050 0.172982
5 4200 0.173178
5 4350 0.173433
5 4500 0.173263
5 4650 0.172879
5 4800 0.173123
5 4950 0.173311
6 0 0.173339
6 150 0.172806
6 300 0.173171
6 450 0.17304
6 600 0.173243
6 750 0.173088
6 900 0.17328
6 1050 0.173313
6 1200 0.173136
6 1350 0.173288
6 1500 0.17325
6 1650 0.173056
6 1800 0.173094
6 1950 0.173173
6 2100 0.173084
6 2250 0.173134
6 2400 0.173316
6 2550 0.173276
6 2700 0.173216
6 2850 0.173085
6 3000 0.173193
6 3150 0.173087
6 3300 0.173387
6 3450 0.172938
6 3600 0.17327
6 3750 0.173334
6 3900 0.173027
6 4050 0.173343
6 4200 0.173208
6 4350 0.173152
6 4500 0.173329
6 4650 0.172984
6 4800 0.173076
6 4950 0.173149
7 0 0.173513
7 150 0.173327
7 300 0.173184
7 450 0.173186
7 600 0.173313
7 750 0.173306
7 900 0.173412
7 1050 0.173067
7 1200 0.173031
7 1350 0.173247
7 1500 0.17335
7 1650 0.173156
7 1800 0.172981
7 1950 0.173511
7 2100 0.172921
7 2250 0.173367
7 2400 0.173043
7 2550 0.173145
7 2700 0.173154
7 2850 0.173146
7 3000 0.173164
7 3150 0.173128
7 3300 0.173351
7 3450 0.173178
7 3600 0.173045
7 3750 0.173117
7 3900 0.173086
7 4050 0.173044
7 4200 0.173572
7 4350 0.173136
7 4500 0.173434
7 4650 0.172978
7 4800 0.173217
7 4950 0.173292
8 0 0.173245
8 150 0.173323
8 300 0.173134
8 450 0.17336
8 600 0.173389
8 750 0.173462
8 900 0.173117
8 1050 0.172955
8 1200 0.173232
8 1350 0.173187
8 1500 0.173218
8 1650 0.173356
8 1800 0.173156
8 1950 0.173051
8 2100 0.173215
8 2250 0.173051
8 2400 0.173153
8 2550 0.173116
8 2700 0.173221
8 2850 0.173336
8 3000 0.173196
8 3150 0.173155
8 3300 0.173152
8 3450 0.173123
8 3600 0.173101
8 3750 0.172913
8 3900 0.173393
8 4050 0.173109
8 4200 0.172994
8 4350 0.173533
8 4500 0.173167
8 4650 0.173187
8 4800 0.173272
8 4950 0.17307
9 0 0.173183
9 150 0.173263
9 300 0.173315
9 450 0.173229
9 600 0.173131
9 750 0.173343
9 900 0.173239
9 1050 0.173131
9 1200 0.173139
9 1350 0.172938
9 1500 0.173135
9 1650 0.173369
9 1800 0.173143
9 1950 0.17328
9 2100 0.173265
9 2250 0.173005
9 2400 0.173174
9 2550 0.173146
9 2700 0.173284
9 2850 0.173162
9 3000 0.173199
9 3150 0.17311
9 3300 0.173348
9 3450 0.17289
9 3600 0.173205
9 3750 0.173307
9 3900 0.172981
9 4050 0.173256
9 4200 0.173068
9 4350 0.172849
9 4500 0.173318
