epoch batch vali_cost
0 0 2.49452
0 150 0.480911
0 300 0.230996
0 450 0.199404
0 600 0.184596
0 750 0.178071
0 900 0.177274
0 1050 0.173939
0 1200 0.173586
0 1350 0.17343
0 1500 0.173459
0 1650 0.173362
0 1800 0.173484
0 1950 0.17349
0 2100 0.173447
0 2250 0.173455
0 2400 0.173383
0 2550 0.173385
0 2700 0.173387
0 2850 0.173414
0 3000 0.173403
0 3150 0.17344
0 3300 0.17343
0 3450 0.173427
0 3600 0.173324
0 3750 0.173499
0 3900 0.173582
0 4050 0.173446
0 4200 0.173399
0 4350 0.173418
0 4500 0.173435
0 4650 0.173349
0 4800 0.173355
0 4950 0.173434
1 0 0.173369
1 150 0.173415
1 300 0.1734
1 450 0.173472
1 600 0.173376
1 750 0.173404
1 900 0.173322
1 1050 0.173376
1 1200 0.173511
1 1350 0.173419
1 1500 0.173403
1 1650 0.173457
1 1800 0.173385
1 1950 0.173434
1 2100 0.173322
1 2250 0.173429
1 2400 0.173394
1 2550 0.173374
1 2700 0.173395
1 2850 0.173327
1 3000 0.173319
1 3150 0.173351
1 3300 0.173323
1 3450 0.173464
1 3600 0.173332
1 3750 0.173412
1 3900 0.17338
1 4050 0.173345
1 4200 0.173348
1 4350 0.173329
1 4500 0.17341
1 4650 0.173332
1 4800 0.173328
1 4950 0.173345
2 0 0.173344
2 150 0.173432
2 300 0.173339
2 450 0.17334
2 600 0.173385
2 750 0.173349
2 900 0.173347
2 1050 0.173348
2 1200 0.173378
2 1350 0.173369
2 1500 0.17334
2 1650 0.17334
2 1800 0.173423
2 1950 0.173336
2 2100 0.173362
2 2250 0.173342
2 2400 0.173323
2 2550 0.17333
2 2700 0.173407
2 2850 0.173352
2 3000 0.17336
2 3150 0.173345
2 3300 0.173387
2 3450 0.173363
2 3600 0.173303
2 3750 0.173351
2 3900 0.17333
2 4050 0.173388
2 4200 0.173319
2 4350 0.173347
2 4500 0.17331
2 4650 0.17331
2 4800 0.173331
2 4950 0.173366
3 0 0.173301
3 150 0.173307
3 300 0.173315
3 450 0.173297
3 600 0.173349
3 750 0.173389
3 900 0.173309
3 1050 0.173365
3 1200 0.173364
3 1350 0.1733
3 1500 0.173334
3 1650 0.173316
3 1800 0.173321
3 1950 0.17332
3 2100 0.173315
3 2250 0.173318
3 2400 0.173335
3 2550 0.173356
3 2700 0.173328
3 2850 0.173325
3 3000 0.173307
3 3150 0.173332
3 3300 0.173327
3 3450 0.1733
3 3600 0.173323
3 3750 0.173355
3 3900 0.173325
3 4050 0.173347
3 4200 0.173355
3 4350 0.173323
3 4500 0.173317
3 4650 0.173369
3 4800 0.17333
3 4950 0.173322
4 0 0.173322
4 150 0.173335
4 300 0.173333
4 450 0.173312
4 600 0.173299
4 750 0.173338
4 900 0.17332
4 1050 0.173352
4 1200 0.173317
4 1350 0.173308
4 1500 0.173347
4 1650 0.173413
4 1800 0.173303
4 1950 0.17333
4 2100 0.173319
4 2250 0.173335
4 2400 0.173343
4 2550 0.173319
4 2700 0.173298
4 2850 0.173309
4 3000 0.173315
4 3150 0.173323
4 3300 0.173314
4 3450 0.173316
4 3600 0.173324
4 3750 0.173325
4 3900 0.173303
4 4050 0.173315
4 4200 0.173327
4 4350 0.173333
4 4500 0.173305
4 4650 0.17332
4 4800 0.173334
4 4950 0.173305
5 0 0.173303
5 150 0.173321
5 300 0.173301
5 450 0.173351
5 600 0.17336
5 750 0.173325
5 900 0.173321
5 1050 0.173328
5 1200 0.173322
5 1350 0.173329
5 1500 0.173383
5 1650 0.173332
5 1800 0.173325
5 1950 0.173309
5 2100 0.173341
5 2250 0.173334
5 2400 0.17334
5 2550 0.173319
5 2700 0.173309
5 2850 0.173324
5 3000 0.173346
5 3150 0.173315
5 3300 0.173317
5 3450 0.173299
5 3600 0.173311
5 3750 0.173313
5 3900 0.173311
5 4050 0.173306
5 4200 0.173314
5 4350 0.173343
5 4500 0.173316
5 4650 0.17333
5 4800 0.173305
5 4950 0.173323
6 0 0.17331
6 150 0.173312
6 300 0.17334
6 450 0.173342
6 600 0.173309
6 750 0.173339
6 900 0.173333
6 1050 0.173304
6 1200 0.17331
6 1350 0.173317
6 1500 0.173311
6 1650 0.173349
6 1800 0.173295
6 1950 0.173317
6 2100 0.173325
6 2250 0.173301
6 2400 0.173335
6 2550 0.173303
6 2700 0.173306
6 2850 0.173303
6 3000 0.173303
6 3150 0.173326
6 3300 0.173318
6 3450 0.173324
6 3600 0.173332
6 3750 0.173294
6 3900 0.173303
6 4050 0.173297
6 4200 0.173295
6 4350 0.173344
6 4500 0.173302
6 4650 0.173311
6 4800 0.173309
6 4950 0.173322
7 0 0.173305
7 150 0.173318
7 300 0.173299
7 450 0.173326
7 600 0.173303
7 750 0.173296
7 900 0.173307
7 1050 0.173303
7 1200 0.173331
7 1350 0.173326
7 1500 0.173298
7 1650 0.173309
7 1800 0.173304
7 1950 0.173318
7 2100 0.173326
7 2250 0.173311
7 2400 0.17331
7 2550 0.173304
7 2700 0.173304
7 2850 0.173305
7 3000 0.173302
7 3150 0.173329
7 3300 0.173298
7 3450 0.173318
7 3600 0.173311
7 3750 0.173312
7 3900 0.173313
7 4050 0.173327
7 4200 0.173332
7 4350 0.173327
7 4500 0.173301
7 4650 0.173301
7 4800 0.173318
7 4950 0.173306
8 0 0.173295
8 150 0.173312
8 300 0.173327
8 450 0.173292
8 600 0.173301
8 750 0.173295
8 900 0.173331
8 1050 0.173314
8 1200 0.173306
8 1350 0.173321
8 1500 0.173305
8 1650 0.17331
8 1800 0.173334
8 1950 0.173328
8 2100 0.173311
8 2250 0.17335
8 2400 0.173301
8 2550 0.173301
8 2700 0.173304
8 2850 0.173312
8 3000 0.173303
8 3150 0.173297
8 3300 0.173341
8 3450 0.173329
8 3600 0.173309
8 3750 0.173295
8 3900 0.173305
8 4050 0.173324
8 4200 0.173317
8 4350 0.173301
8 4500 0.173308
8 4650 0.173352
8 4800 0.173318
8 4950 0.173319
9 0 0.173299
9 150 0.173309
9 300 0.173303
9 450 0.173315
9 600 0.173298
9 750 0.173316
9 900 0.173323
9 1050 0.173301
9 1200 0.173312
9 1350 0.173304
9 1500 0.173292
9 1650 0.173309
9 1800 0.173295
9 1950 0.173307
9 2100 0.173323
9 2250 0.173313
9 2400 0.173312
9 2550 0.173299
9 2700 0.173305
9 2850 0.17332
9 3000 0.173316
9 3150 0.17332
9 3300 0.173303
9 3450 0.173366
9 3600 0.173306
9 3750 0.173308
9 3900 0.17331
9 4050 0.173313
9 4200 0.17329
9 4350 0.173315
9 4500 0.173295
9 4650 0.173322
9 4800 0.173313
9 4950 0.173288
