epoch batch train_cost
0 0 1.86955
0 150 0.47153
0 300 0.278134
0 450 0.195425
0 600 0.177832
0 750 0.174063
0 900 0.174057
0 1050 0.172933
0 1200 0.172966
0 1350 0.172479
0 1500 0.17285
0 1650 0.172955
0 1800 0.173506
0 1950 0.172913
0 2100 0.173196
0 2250 0.172766
0 2400 0.172803
0 2550 0.172101
0 2700 0.172977
0 2850 0.173076
0 3000 0.173012
0 3150 0.173522
0 3300 0.173477
0 3450 0.173529
0 3600 0.173288
0 3750 0.172446
0 3900 0.172771
0 4050 0.17298
0 4200 0.17244
0 4350 0.172249
0 4500 0.172944
0 4650 0.173203
0 4800 0.173406
0 4950 0.172653
1 0 0.172901
1 150 0.17294
1 300 0.172678
1 450 0.173259
1 600 0.173295
1 750 0.173064
1 900 0.172815
1 1050 0.172884
1 1200 0.172806
1 1350 0.173078
1 1500 0.173239
1 1650 0.173363
1 1800 0.172712
1 1950 0.173238
1 2100 0.172662
1 2250 0.172612
1 2400 0.172738
1 2550 0.172882
1 2700 0.172566
1 2850 0.173208
1 3000 0.172666
1 3150 0.171682
1 3300 0.170798
1 3450 0.16934
1 3600 0.167825
1 3750 0.165629
1 3900 0.163729
1 4050 0.16015
1 4200 0.156004
1 4350 0.15115
1 4500 0.146235
1 4650 0.142351
1 4800 0.134825
1 4950 0.131029
2 0 0.130529
2 150 0.121903
2 300 0.118108
2 450 0.115659
2 600 0.110182
2 750 0.105948
2 900 0.107175
2 1050 0.0972745
2 1200 0.0922579
2 1350 0.0926072
2 1500 0.0894299
2 1650 0.0839542
2 1800 0.078122
2 1950 0.0805599
2 2100 0.071963
2 2250 0.0712246
2 2400 0.0738222
2 2550 0.0663869
2 2700 0.0610039
2 2850 0.061855
2 3000 0.0579682
2 3150 0.0576867
2 3300 0.0606307
2 3450 0.0561182
2 3600 0.0586223
2 3750 0.053217
2 3900 0.0484238
2 4050 0.0526572
2 4200 0.0496769
2 4350 0.0475956
2 4500 0.0430284
2 4650 0.0421628
2 4800 0.0451331
2 4950 0.0401666
3 0 0.0449544
3 150 0.0392436
3 300 0.0457669
3 450 0.0411346
3 600 0.0392258
3 750 0.0368265
3 900 0.0321277
3 1050 0.0500044
3 1200 0.0299661
3 1350 0.0312195
3 1500 0.0361014
3 1650 0.0302223
3 1800 0.033431
3 1950 0.026221
3 2100 0.0292679
3 2250 0.0337938
3 2400 0.0254593
3 2550 0.0233894
3 2700 0.0294913
3 2850 0.0276097
