epoch batch vali_cost
0 0 1.87085
0 150 0.470553
0 300 0.278337
0 450 0.195942
0 600 0.178656
0 750 0.175069
0 900 0.173896
0 1050 0.173603
0 1200 0.173495
0 1350 0.173522
0 1500 0.17343
0 1650 0.173378
0 1800 0.173409
0 1950 0.173433
0 2100 0.173424
0 2250 0.173447
0 2400 0.173415
0 2550 0.173476
0 2700 0.173391
0 2850 0.173423
0 3000 0.173422
0 3150 0.173389
0 3300 0.173401
0 3450 0.173429
0 3600 0.173344
0 3750 0.173403
0 3900 0.173389
0 4050 0.173412
0 4200 0.173381
0 4350 0.173559
0 4500 0.173429
0 4650 0.173393
0 4800 0.173393
0 4950 0.173441
1 0 0.173404
1 150 0.17337
1 300 0.173372
1 450 0.17337
1 600 0.173389
1 750 0.173356
1 900 0.173389
1 1050 0.173379
1 1200 0.173382
1 1350 0.173358
1 1500 0.173388
1 1650 0.173406
1 1800 0.173355
1 1950 0.173334
1 2100 0.173334
1 2250 0.173427
1 2400 0.173323
1 2550 0.173268
1 2700 0.1732
1 2850 0.173062
1 3000 0.172809
1 3150 0.17213
1 3300 0.171227
1 3450 0.169983
1 3600 0.168378
1 3750 0.166029
1 3900 0.16365
1 4050 0.160749
1 4200 0.156474
1 4350 0.152069
1 4500 0.147192
1 4650 0.141782
1 4800 0.137014
1 4950 0.131254
2 0 0.129404
2 150 0.124484
2 300 0.119659
2 450 0.114847
2 600 0.112166
2 750 0.107923
2 900 0.104951
2 1050 0.101029
2 1200 0.0942194
2 1350 0.0942006
2 1500 0.0884688
2 1650 0.0838132
2 1800 0.0828273
2 1950 0.0796419
2 2100 0.0749371
2 2250 0.0733435
2 2400 0.0719933
2 2550 0.0675736
2 2700 0.0655052
2 2850 0.0634727
2 3000 0.0612215
2 3150 0.0593771
2 3300 0.0578327
2 3450 0.0571583
2 3600 0.0596466
2 3750 0.0528931
2 3900 0.053693
2 4050 0.0522226
2 4200 0.0488656
2 4350 0.0475433
2 4500 0.0460227
2 4650 0.0449531
2 4800 0.0438669
2 4950 0.0426363
3 0 0.0431291
3 150 0.0412242
3 300 0.0482577
3 450 0.0398047
3 600 0.0387034
3 750 0.0378242
3 900 0.0370306
3 1050 0.0531453
3 1200 0.0353794
3 1350 0.034786
3 1500 0.0340048
3 1650 0.0347246
3 1800 0.0327433
3 1950 0.0326411
3 2100 0.0315804
3 2250 0.0311282
3 2400 0.0319817
3 2550 0.0301423
3 2700 0.0294995
3 2850 0.0295767
