epoch batch time
0 0 1.90734863281e-06
0 150 85.3642230034
0 300 84.7568240166
0 450 85.7410409451
0 600 80.5710260868
0 750 84.7248818874
0 900 81.5506219864
0 1050 83.0981910229
0 1200 84.1727290154
0 1350 84.5895631313
0 1500 87.4837260246
0 1650 86.4605739117
0 1800 85.5587050915
0 1950 85.3634018898
0 2100 85.9097690582
0 2250 82.5729570389
0 2400 85.8944129944
0 2550 81.7801258564
0 2700 85.4098551273
0 2850 83.1574428082
0 3000 82.6071619987
0 3150 81.9765560627
0 3300 81.2305660248
0 3450 83.4708211422
0 3600 82.86241889
0 3750 86.1920669079
0 3900 90.4986519814
0 4050 87.4070022106
0 4200 82.6185507774
0 4350 56.0304200649
0 4500 83.7966871262
0 4650 85.2616529465
0 4800 84.110984087
0 4950 84.9007148743
1 0 9.53674316406e-07
1 150 82.1269738674
1 300 84.3767449856
1 450 82.4380559921
1 600 83.8001410961
1 750 84.4945008755
1 900 81.9769980907
1 1050 84.6967220306
1 1200 85.5899150372
1 1350 54.9912638664
1 1500 86.5141100883
1 1650 91.76906991
1 1800 86.1435310841
1 1950 85.2213339806
1 2100 82.9159181118
1 2250 84.5528929234
1 2400 84.9812119007
1 2550 81.7149891853
1 2700 84.5062818527
1 2850 88.0020129681
1 3000 84.0776431561
1 3150 84.5244779587
1 3300 83.6597030163
1 3450 86.7808289528
1 3600 84.1101970673
1 3750 85.8772239685
1 3900 83.5791039467
1 4050 87.3438229561
1 4200 88.5360281467
1 4350 84.3482990265
1 4500 56.7222759724
1 4650 83.8133289814
1 4800 56.5033798218
1 4950 86.2413680553
2 0 1.90734863281e-06
2 150 58.5277690887
2 300 85.8610579967
2 450 83.5882160664
2 600 84.1058878899
2 750 55.5264749527
2 900 85.0629010201
2 1050 59.0306181908
2 1200 85.4314918518
2 1350 58.614825964
2 1500 84.0860919952
2 1650 86.1812551022
2 1800 85.6654150486
2 1950 61.1957318783
2 2100 59.3467741013
2 2250 84.315117836
2 2400 85.1768062115
2 2550 57.2904679775
2 2700 81.4617509842
2 2850 82.9724099636
2 3000 85.6307239532
2 3150 85.0977079868
2 3300 85.3082959652
2 3450 83.9449901581
2 3600 85.1313300133
2 3750 87.8448708057
2 3900 85.5170490742
2 4050 56.4362299442
2 4200 56.6316680908
2 4350 58.023375988
2 4500 56.1519680023
2 4650 88.2501890659
2 4800 86.1613888741
2 4950 54.0591471195
3 0 9.53674316406e-07
3 150 54.6981129646
3 300 82.0258159637
3 450 55.1107699871
3 600 55.2929670811
3 750 56.9749929905
3 900 59.7489249706
3 1050 57.9119110107
3 1200 57.4477579594
3 1350 85.5752539635
3 1500 55.3188481331
3 1650 55.569838047
3 1800 84.6407158375
3 1950 84.3672161102
3 2100 82.9316718578
3 2250 82.8648941517
3 2400 85.2512688637
3 2550 85.4684381485
3 2700 54.9091768265
3 2850 59.7097451687
3 3000 61.1373138428
3 3150 58.6666960716
3 3300 81.2517859936
3 3450 58.9014520645
3 3600 56.9313578606
3 3750 58.2022461891
3 3900 57.3256969452
3 4050 56.8040800095
3 4200 58.7510330677
3 4350 84.4113969803
3 4500 57.2439899445
3 4650 83.0034189224
3 4800 54.509647131
3 4950 54.8646039963
4 0 9.53674316406e-07
4 150 57.5320880413
4 300 57.2302899361
4 450 84.8065400124
4 600 84.1953210831
4 750 58.2425980568
4 900 86.0888898373
4 1050 82.5707271099
4 1200 92.9316320419
4 1350 84.6544559002
4 1500 57.7396290302
4 1650 58.4745271206
4 1800 58.356913805
4 1950 58.297907114
4 2100 58.6644079685
4 2250 86.1071469784
4 2400 57.028181076
4 2550 57.5032389164
4 2700 59.2845289707
4 2850 58.7015480995
4 3000 85.5701260567
4 3150 81.703843832
4 3300 83.5748281479
4 3450 56.8256800175
4 3600 56.7595558167
4 3750 58.8449730873
4 3900 55.8982870579
4 4050 84.9376869202
4 4200 54.3890039921
4 4350 61.1296100616
4 4500 88.0918929577
4 4650 53.7618210316
4 4800 54.0630810261
4 4950 55.3158919811
5 0 1.90734863281e-06
5 150 57.3601970673
5 300 84.784165144
5 450 56.0214538574
5 600 57.4427750111
5 750 58.421653986
5 900 58.9729731083
5 1050 56.8790199757
5 1200 54.6517498493
5 1350 85.8385109901
5 1500 83.0395870209
5 1650 58.6755650043
5 1800 58.7648689747
5 1950 57.9490480423
5 2100 57.0521731377
5 2250 86.427246809
5 2400 57.0471711159
5 2550 86.9947900772
5 2700 60.6254799366
5 2850 56.2242739201
5 3000 58.6512441635
5 3150 58.4134838581
5 3300 57.9830470085
5 3450 84.9457790852
5 3600 57.2624650002
5 3750 84.8161349297
5 3900 56.5987830162
5 4050 87.4547760487
5 4200 58.9890780449
5 4350 56.4016039371
5 4500 54.7028770447
5 4650 55.6336989403
5 4800 59.1074140072
5 4950 84.7313098907
6 0 0.0
6 150 82.7573969364
6 300 55.704171896
6 450 55.9936771393
6 600 59.0471918583
6 750 55.8642241955
6 900 60.6451449394
6 1050 60.6666600704
6 1200 86.1608378887
6 1350 58.1477119923
6 1500 59.5125670433
6 1650 58.7043020725
6 1800 58.9507708549
6 1950 85.8055419922
6 2100 84.9174289703
6 2250 81.9777700901
6 2400 54.7867639065
6 2550 55.2060790062
6 2700 57.6549141407
