epoch batch train_cost
0 0 2.3101
0 150 0.464264
0 300 0.244357
0 450 0.185653
0 600 0.174808
0 750 0.166067
0 900 0.154047
0 1050 0.138882
0 1200 0.125431
0 1350 0.112105
0 1500 0.0960932
0 1650 0.0897871
0 1800 0.077191
0 1950 0.0677808
0 2100 0.0599686
0 2250 0.0566833
0 2400 0.0528082
0 2550 0.0496291
0 2700 0.0445278
0 2850 0.039711
0 3000 0.0388538
0 3150 0.0354842
0 3300 0.0410969
0 3450 0.0332158
0 3600 0.0358501
0 3750 0.03287
0 3900 0.0276765
0 4050 0.0344746
0 4200 0.0293532
0 4350 0.0265916
0 4500 0.0251208
0 4650 0.0236057
0 4800 0.0252269
0 4950 0.0214147
1 0 0.0197255
1 150 0.0212705
1 300 0.0231662
1 450 0.0204065
1 600 0.016789
1 750 0.0226807
1 900 0.0160601
1 1050 0.0166297
1 1200 0.0167746
1 1350 0.0199858
1 1500 0.0196259
1 1650 0.0160889
1 1800 0.017017
1 1950 0.0161158
1 2100 0.018691
1 2250 0.0191089
1 2400 0.0197478
1 2550 0.0129385
1 2700 0.0146992
1 2850 0.0132974
1 3000 0.0155424
1 3150 0.0155386
1 3300 0.0120008
1 3450 0.0115069
1 3600 0.0147734
1 3750 0.0128406
1 3900 0.0153368
1 4050 0.0106241
1 4200 0.0130159
1 4350 0.0129222
1 4500 0.0161319
1 4650 0.0128152
1 4800 0.0134593
1 4950 0.0120773
2 0 0.0105106
2 150 0.00919228
2 300 0.0130499
2 450 0.00970024
2 600 0.0106779
2 750 0.0129059
2 900 0.0130278
2 1050 0.0113903
2 1200 0.0118957
2 1350 0.00895256
2 1500 0.00787707
2 1650 0.0094221
2 1800 0.00688676
2 1950 0.00908479
2 2100 0.0116887
2 2250 0.0106565
2 2400 0.00757678
2 2550 0.0120223
2 2700 0.00952657
2 2850 0.00646827
2 3000 0.00841946
2 3150 0.00913425
2 3300 0.0100585
2 3450 0.0127422
2 3600 0.00937956
2 3750 0.00668003
2 3900 0.00786982
2 4050 0.0126689
2 4200 0.0082251
2 4350 0.00945719
2 4500 0.00777457
2 4650 0.0080562
2 4800 0.009752
2 4950 0.0066739
3 0 0.00801378
3 150 0.00986907
3 300 0.00972273
3 450 0.00649747
3 600 0.00879444
3 750 0.00765719
3 900 0.0107187
3 1050 0.00876975
3 1200 0.00637304
3 1350 0.010558
3 1500 0.00737729
3 1650 0.00664156
3 1800 0.0090885
3 1950 0.00539938
3 2100 0.00667163
3 2250 0.00802249
3 2400 0.00925936
3 2550 0.0109084
3 2700 0.00684681
3 2850 0.0099648
3 3000 0.00713268
3 3150 0.00830652
3 3300 0.00444281
3 3450 0.0056275
3 3600 0.00772247
3 3750 0.00649486
3 3900 0.00778007
3 4050 0.00563656
3 4200 0.00776648
3 4350 0.00544236
3 4500 0.00710777
3 4650 0.00587297
3 4800 0.00549895
3 4950 0.00599567
4 0 0.00778362
4 150 0.00439852
4 300 0.00553484
4 450 0.00399343
4 600 0.00611083
4 750 0.00843485
4 900 0.00781506
4 1050 0.00939528
4 1200 0.00724422
4 1350 0.0059524
4 1500 0.00674427
4 1650 0.0071833
4 1800 0.00735067
4 1950 0.00786727
4 2100 0.00657807
4 2250 0.00586952
4 2400 0.00818674
4 2550 0.00621807
4 2700 0.00962164
4 2850 0.00742978
4 3000 0.00585697
4 3150 0.00620271
4 3300 0.00691104
4 3450 0.00551562
4 3600 0.00636567
4 3750 0.00444272
4 3900 0.0105812
4 4050 0.00609921
4 4200 0.0100506
4 4350 0.00534047
4 4500 0.00479648
4 4650 0.00485411
4 4800 0.00515684
4 4950 0.00615734
5 0 0.00718907
5 150 0.00544237
5 300 0.00703867
5 450 0.00614377
5 600 0.00487714
5 750 0.00638413
5 900 0.00699699
5 1050 0.00469606
5 1200 0.00535975
5 1350 0.00496025
5 1500 0.00705262
5 1650 0.00460244
5 1800 0.00510594
5 1950 0.00403171
5 2100 0.00720913
5 2250 0.0029234
5 2400 0.00447551
5 2550 0.00515848
5 2700 0.00456721
5 2850 0.00617254
5 3000 0.0031948
5 3150 0.00624326
5 3300 0.00441984
5 3450 0.00420439
5 3600 0.00437083
5 3750 0.00492364
5 3900 0.00737493
5 4050 0.00241796
5 4200 0.00395845
5 4350 0.00474335
5 4500 0.00554203
5 4650 0.00289297
5 4800 0.00388744
5 4950 0.0046818
6 0 0.00423231
6 150 0.00502188
6 300 0.00316154
6 450 0.00432931
6 600 0.00485375
6 750 0.00351401
6 900 0.00263944
6 1050 0.0032701
6 1200 0.00766417
6 1350 0.00617417
6 1500 0.0044516
6 1650 0.00948398
6 1800 0.00605661
6 1950 0.00577408
6 2100 0.00225615
6 2250 0.0046982
6 2400 0.005199
6 2550 0.00535589
6 2700 0.00652993
