epoch batch vali_cost
0 0 2.30782
0 150 0.46401
0 300 0.244384
0 450 0.185376
0 600 0.174992
0 750 0.166789
0 900 0.155704
0 1050 0.141297
0 1200 0.125913
0 1350 0.111626
0 1500 0.0989863
0 1650 0.088279
0 1800 0.079068
0 1950 0.0711084
0 2100 0.0651195
0 2250 0.0588935
0 2400 0.0542587
0 2550 0.0498837
0 2700 0.0475888
0 2850 0.0432402
0 3000 0.0405563
0 3150 0.0382481
0 3300 0.0360008
0 3450 0.0344363
0 3600 0.0329943
0 3750 0.0317617
0 3900 0.0301005
0 4050 0.0288659
0 4200 0.0278811
0 4350 0.028217
0 4500 0.0260345
0 4650 0.0255323
0 4800 0.0249901
0 4950 0.0237815
1 0 0.0240199
1 150 0.0231056
1 300 0.0225648
1 450 0.0220851
1 600 0.0214435
1 750 0.0211607
1 900 0.0207338
1 1050 0.0204277
1 1200 0.0197524
1 1350 0.020187
1 1500 0.018752
1 1650 0.0185979
1 1800 0.0183291
1 1950 0.0181792
1 2100 0.0175948
1 2250 0.0174972
1 2400 0.0172485
1 2550 0.0167094
1 2700 0.0163444
1 2850 0.0162442
1 3000 0.0162226
1 3150 0.0157188
1 3300 0.0154775
1 3450 0.0153065
1 3600 0.014791
1 3750 0.0147444
1 3900 0.0146126
1 4050 0.0143754
1 4200 0.0139958
1 4350 0.0138502
1 4500 0.0142044
1 4650 0.0135792
1 4800 0.0137564
1 4950 0.0132057
2 0 0.0131529
2 150 0.0132025
2 300 0.0129692
2 450 0.0126441
2 600 0.0125717
2 750 0.0128608
2 900 0.0121873
2 1050 0.0123676
2 1200 0.01184
2 1350 0.0118466
2 1500 0.0117127
2 1650 0.0115746
2 1800 0.0112068
2 1950 0.0113851
2 2100 0.0115152
2 2250 0.0109564
2 2400 0.0108845
2 2550 0.0115747
2 2700 0.0108167
2 2850 0.0105991
2 3000 0.0104978
2 3150 0.0104053
2 3300 0.0103946
2 3450 0.010299
2 3600 0.0102854
2 3750 0.0100412
2 3900 0.00982815
2 4050 0.0102023
2 4200 0.00989554
2 4350 0.0100125
2 4500 0.0104672
2 4650 0.00974419
2 4800 0.00972263
2 4950 0.00983632
3 0 0.00930821
3 150 0.0096544
3 300 0.00915784
3 450 0.00920662
3 600 0.00924713
3 750 0.00942245
3 900 0.00926881
3 1050 0.00916471
3 1200 0.00919029
3 1350 0.00902044
3 1500 0.00933478
3 1650 0.00915004
3 1800 0.00898298
3 1950 0.00868258
3 2100 0.00862283
3 2250 0.00854744
3 2400 0.00853229
3 2550 0.00825652
3 2700 0.00869226
3 2850 0.0088084
3 3000 0.00858601
3 3150 0.00855197
3 3300 0.00800371
3 3450 0.00810015
3 3600 0.00812319
3 3750 0.00824973
3 3900 0.00806394
3 4050 0.00800591
3 4200 0.00819039
3 4350 0.00773592
3 4500 0.00783288
3 4650 0.00759334
3 4800 0.00763192
3 4950 0.00771494
4 0 0.00799309
4 150 0.00762467
4 300 0.00784722
4 450 0.00755366
4 600 0.00753846
4 750 0.00783571
4 900 0.00753147
4 1050 0.00750138
4 1200 0.00726976
4 1350 0.0071465
4 1500 0.00714713
4 1650 0.00740753
4 1800 0.00723998
4 1950 0.00720189
4 2100 0.0073077
4 2250 0.00707838
4 2400 0.00716654
4 2550 0.00727319
4 2700 0.00797729
4 2850 0.00716265
4 3000 0.00700539
4 3150 0.00688955
4 3300 0.00678806
4 3450 0.00690748
4 3600 0.00694627
4 3750 0.00699747
4 3900 0.00688649
4 4050 0.00671176
4 4200 0.00690576
4 4350 0.00682916
4 4500 0.00664489
4 4650 0.0066692
4 4800 0.00736585
4 4950 0.00684043
5 0 0.00656267
5 150 0.0065954
5 300 0.00646438
5 450 0.00690635
5 600 0.00677477
5 750 0.00690755
5 900 0.00696942
5 1050 0.00671462
5 1200 0.00676877
5 1350 0.0062908
5 1500 0.00624127
5 1650 0.00627173
5 1800 0.00641867
5 1950 0.00633781
5 2100 0.00653897
5 2250 0.00622189
5 2400 0.00636
5 2550 0.0060477
5 2700 0.00617636
5 2850 0.00616413
5 3000 0.00620976
5 3150 0.00635252
5 3300 0.00645425
5 3450 0.00594194
5 3600 0.00615499
5 3750 0.00593091
5 3900 0.00623927
5 4050 0.00580934
5 4200 0.00593693
5 4350 0.00609865
5 4500 0.00589225
5 4650 0.00586064
5 4800 0.00622435
5 4950 0.00580597
6 0 0.00586367
6 150 0.00574043
6 300 0.00588836
6 450 0.00594986
6 600 0.00581431
6 750 0.00591953
6 900 0.00598796
6 1050 0.0060294
6 1200 0.0056228
6 1350 0.00569643
6 1500 0.00587989
6 1650 0.00590667
6 1800 0.00625626
6 1950 0.00556832
6 2100 0.00556186
6 2250 0.00545556
6 2400 0.00555611
6 2550 0.00551168
6 2700 0.00581758
