batch k value what
0 0 3.85719 diff
0 0 1.87586 norm
0 1 4.13488 diff
0 1 2.2954 norm
0 2 4.32507 diff
0 2 2.55912 norm
0 3 4.46673 diff
0 3 2.74044 norm
0 4 4.52326 diff
0 4 2.80869 norm
0 5 4.56419 diff
0 5 2.8136 norm
0 6 4.46956 diff
0 6 2.81672 norm
0 7 4.35005 diff
0 7 2.81269 norm
0 8 4.44935 diff
0 8 2.86847 norm
0 9 4.54405 diff
0 9 2.87668 norm
0 10 3.75408 diff
0 10 2.95152 norm
0 11 3.10606 diff
0 11 3.07212 norm
0 12 2.52457 diff
0 12 3.10248 norm
0 13 2.0431 diff
0 13 3.1951 norm
0 14 1.69991 diff
0 14 3.3131 norm
0 15 1.44222 diff
0 15 3.39502 norm
0 16 1.21211 diff
0 16 3.36545 norm
0 17 1.04549 diff
0 17 3.38332 norm
0 18 0.853455 diff
0 18 3.4143 norm
0 19 0.693395 diff
0 19 3.4276 norm
0 20 0.698229 diff
0 20 3.45326 norm
0 21 0.608754 diff
0 21 3.43584 norm
0 22 0.56383 diff
0 22 3.415 norm
0 23 0.526963 diff
0 23 3.40768 norm
0 24 0.493634 diff
0 24 3.41045 norm
0 25 0.452941 diff
0 25 3.40472 norm
0 26 0.422235 diff
0 26 3.39864 norm
0 27 0.412077 diff
0 27 3.38351 norm
0 28 0.395447 diff
0 28 3.37528 norm
0 29 0.411725 diff
0 29 3.37533 norm
0 30 0.402264 diff
0 30 3.37321 norm
0 31 0.394134 diff
0 31 3.37328 norm
0 32 0.38102 diff
0 32 3.37128 norm
0 33 0.386783 diff
0 33 3.37322 norm
0 34 0.39754 diff
0 34 3.37376 norm
0 35 0.396259 diff
0 35 3.37331 norm
0 36 0.395835 diff
0 36 3.37279 norm
0 37 0.391424 diff
0 37 3.37278 norm
0 38 0.394078 diff
0 38 3.37361 norm
0 39 0.390956 diff
0 39 3.3728 norm
0 40 0.390521 diff
0 40 3.37203 norm
0 41 0.390013 diff
0 41 3.37099 norm
0 42 0.390402 diff
0 42 3.37102 norm
0 43 0.391833 diff
0 43 3.37141 norm
0 44 0.390111 diff
0 44 3.37171 norm
0 45 0.38966 diff
0 45 3.3717 norm
0 46 0.388602 diff
0 46 3.3715 norm
0 47 0.390155 diff
0 47 3.37164 norm
0 48 0.390921 diff
0 48 3.37176 norm
0 49 0.390743 diff
0 49 3.37192 norm
0 50 0.390323 diff
0 50 3.3719 norm
0 51 0.389966 diff
0 51 3.37198 norm
0 52 0.390182 diff
0 52 3.37198 norm
0 53 0.389992 diff
0 53 3.3719 norm
0 54 0.390151 diff
0 54 3.3718 norm
0 55 0.390075 diff
0 55 3.37175 norm
0 56 0.390237 diff
0 56 3.37184 norm
0 57 0.390153 diff
0 57 3.37189 norm
