epoch batch time
0 0 1.19209289551e-06
0 150 559.106400013
0 300 492.150379896
0 450 487.660376072
0 600 480.411854982
0 750 474.418515921
0 900 503.485752106
0 1050 511.445150852
0 1200 500.052952051
0 1350 529.859689951
0 1500 54.2593531609
0 1650 56.9465398788
0 1800 57.6805391312
0 1950 57.1371397972
0 2100 505.737735987
0 2250 54.1139991283
0 2400 534.164252996
0 2550 535.88477397
0 2700 516.720201969
0 2850 56.876718998
0 3000 58.310033083
0 3150 57.2544670105
0 3300 57.8491158485
0 3450 56.1035971642
0 3600 56.2927470207
0 3750 54.7053678036
0 3900 52.9187061787
0 4050 57.0869219303
0 4200 55.0394670963
0 4350 54.5633149147
0 4500 474.987895012
0 4650 55.5252659321
0 4800 55.8804061413
0 4950 55.501636982
1 0 0.0
1 150 514.120025873
1 300 516.386373997
1 450 507.186218977
1 600 503.749175072
1 750 498.21034503
1 900 489.267663956
1 1050 511.339016914
1 1200 509.718782187
1 1350 509.672490835
1 1500 517.484451056
1 1650 502.437736034
1 1800 490.231427908
1 1950 509.665171146
1 2100 485.766313791
1 2250 493.356324196
1 2400 512.021348953
1 2550 520.635920048
1 2700 503.769050837
1 2850 510.926917076
1 3000 55.3472259045
1 3150 508.111378193
1 3300 505.270007849
1 3450 506.792227983
1 3600 482.719566107
1 3750 526.164650917
1 3900 499.804365158
1 4050 56.007434845
1 4200 485.308058977
1 4350 486.33287406
1 4500 56.1214289665
1 4650 442.064739943
1 4800 505.175022125
1 4950 474.416893959
2 0 9.53674316406e-07
2 150 466.910196066
2 300 485.346218824
2 450 469.515388966
2 600 55.2000222206
2 750 488.71228981
2 900 479.965447187
2 1050 475.800854921
2 1200 463.911356926
2 1350 486.954353094
2 1500 472.115573883
2 1650 482.332220078
2 1800 54.5408918858
2 1950 501.573307991
2 2100 481.768144131
2 2250 53.6174850464
2 2400 54.7203788757
2 2550 470.731873035
2 2700 489.721897125
2 2850 478.146910906
2 3000 470.43994689
2 3150 486.463189125
2 3300 482.157310963
2 3450 480.97429204
2 3600 483.588586092
2 3750 53.6339738369
2 3900 470.910254002
2 4050 473.764030933
2 4200 52.6404230595
2 4350 464.793605089
2 4500 54.3496260643
2 4650 53.6830928326
2 4800 497.897122145
2 4950 55.4415168762
3 0 0.0
3 150 478.639634132
3 300 53.5525510311
3 450 474.521510839
3 600 489.839810133
3 750 496.592975855
3 900 55.672219038
3 1050 55.9172241688
3 1200 54.7309408188
3 1350 453.12879014
3 1500 54.4692049026
3 1650 502.958372116
3 1800 54.9829218388
3 1950 55.5850939751
3 2100 481.043248177
3 2250 51.678786993
