epoch batch train_cost
0 0 1.52194
0 150 0.472205
0 300 0.277515
0 450 0.192689
0 600 0.17832
0 750 0.174533
0 900 0.173762
0 1050 0.173851
0 1200 0.172787
0 1350 0.173049
0 1500 0.17237
0 1650 0.1733
0 1800 0.172488
0 1950 0.173393
0 2100 0.17359
0 2250 0.172624
0 2400 0.17255
0 2550 0.173173
0 2700 0.172993
0 2850 0.173107
0 3000 0.173033
0 3150 0.172622
0 3300 0.173045
0 3450 0.172772
0 3600 0.172794
0 3750 0.173126
0 3900 0.17312
0 4050 0.172993
0 4200 0.173032
0 4350 0.172892
0 4500 0.173061
0 4650 0.173519
0 4800 0.172699
0 4950 0.172732
1 0 0.172855
1 150 0.173189
1 300 0.173577
1 450 0.172829
1 600 0.172607
1 750 0.172484
1 900 0.171454
1 1050 0.16968
1 1200 0.168025
1 1350 0.166088
1 1500 0.163902
1 1650 0.160489
1 1800 0.156432
1 1950 0.152395
1 2100 0.148937
1 2250 0.143742
1 2400 0.13751
1 2550 0.130325
1 2700 0.126109
1 2850 0.120036
1 3000 0.123325
1 3150 0.109155
1 3300 0.107566
1 3450 0.0989957
1 3600 0.0981193
1 3750 0.096729
1 3900 0.0956812
1 4050 0.0942472
1 4200 0.0827195
1 4350 0.0791244
1 4500 0.0818301
1 4650 0.0719399
1 4800 0.0683335
1 4950 0.0686327
2 0 0.0689163
2 150 0.0632698
2 300 0.0631583
2 450 0.063896
2 600 0.0631051
2 750 0.0567154
2 900 0.052533
2 1050 0.054493
2 1200 0.0539058
2 1350 0.0495945
2 1500 0.0496449
2 1650 0.0463861
2 1800 0.0519323
2 1950 0.0408489
2 2100 0.0429905
2 2250 0.0448967
2 2400 0.0393327
2 2550 0.0458555
2 2700 0.0403713
2 2850 0.0401662
2 3000 0.0400349
2 3150 0.0357426
2 3300 0.0369382
2 3450 0.0331953
2 3600 0.0363443
2 3750 0.0341719
2 3900 0.0290837
2 4050 0.0332456
2 4200 0.0286799
2 4350 0.0303324
2 4500 0.0308202
2 4650 0.0293276
2 4800 0.0294014
2 4950 0.0284335
3 0 0.0311804
3 150 0.0304928
3 300 0.0322173
3 450 0.0263784
3 600 0.0232959
3 750 0.0276595
3 900 0.0271984
3 1050 0.0270664
3 1200 0.0288752
3 1350 0.0241399
3 1500 0.0258796
3 1650 0.0229482
3 1800 0.0255663
3 1950 0.0207185
3 2100 0.0194518
3 2250 0.0186065
3 2400 0.0227716
3 2550 0.0206638
3 2700 0.0230274
3 2850 0.026166
3 3000 0.0214736
3 3150 0.0237927
3 3300 0.0383771
3 3450 0.0193684
3 3600 0.0190333
3 3750 0.0183782
