epoch batch vali_cost
0 0 1.51417
0 150 0.473013
0 300 0.276981
0 450 0.19377
0 600 0.178288
0 750 0.174882
0 900 0.173925
0 1050 0.173566
0 1200 0.173517
0 1350 0.173458
0 1500 0.173502
0 1650 0.17347
0 1800 0.173477
0 1950 0.173459
0 2100 0.17341
0 2250 0.173497
0 2400 0.173402
0 2550 0.173396
0 2700 0.173373
0 2850 0.17347
0 3000 0.173392
0 3150 0.173413
0 3300 0.17339
0 3450 0.17343
0 3600 0.173441
0 3750 0.173424
0 3900 0.173394
0 4050 0.173375
0 4200 0.173392
0 4350 0.1734
0 4500 0.173351
0 4650 0.173443
0 4800 0.173365
0 4950 0.173466
1 0 0.173366
1 150 0.17333
1 300 0.173263
1 450 0.17318
1 600 0.172975
1 750 0.172516
1 900 0.171608
1 1050 0.170147
1 1200 0.168392
1 1350 0.166332
1 1500 0.163926
1 1650 0.16084
1 1800 0.157467
1 1950 0.152748
1 2100 0.148422
1 2250 0.144614
1 2400 0.137187
1 2550 0.132015
1 2700 0.126814
1 2850 0.121734
1 3000 0.121827
1 3150 0.113396
1 3300 0.106998
1 3450 0.103123
1 3600 0.0986459
1 3750 0.0965397
1 3900 0.0905644
1 4050 0.0929212
1 4200 0.0846344
1 4350 0.081432
1 4500 0.083656
1 4650 0.0744428
1 4800 0.0716474
1 4950 0.0704708
2 0 0.0684397
2 150 0.0666323
2 300 0.066077
2 450 0.0623024
2 600 0.0632129
2 750 0.0582126
2 900 0.0573263
2 1050 0.0540057
2 1200 0.0536746
2 1350 0.051734
2 1500 0.0504544
2 1650 0.0486367
2 1800 0.0511999
2 1950 0.0461288
2 2100 0.044551
2 2250 0.0446438
2 2400 0.0449999
2 2550 0.0425534
2 2700 0.0418093
2 2850 0.0394721
2 3000 0.038716
2 3150 0.0377651
2 3300 0.037746
2 3450 0.0365112
2 3600 0.0360898
2 3750 0.0377024
2 3900 0.0350626
2 4050 0.0333263
2 4200 0.0338007
2 4350 0.0318362
2 4500 0.0324244
2 4650 0.0328515
2 4800 0.0301654
2 4950 0.0302787
3 0 0.0301407
3 150 0.029985
3 300 0.0331304
3 450 0.0288282
3 600 0.0273449
3 750 0.0269464
3 900 0.0275115
3 1050 0.0274059
3 1200 0.028335
3 1350 0.0262606
3 1500 0.0273998
3 1650 0.0244651
3 1800 0.0253872
3 1950 0.0249307
3 2100 0.0237285
3 2250 0.024289
3 2400 0.0246025
3 2550 0.0234451
3 2700 0.0226813
3 2850 0.0223021
3 3000 0.0226575
3 3150 0.0245832
3 3300 0.0368251
3 3450 0.0214145
3 3600 0.021583
3 3750 0.0213634
3 3900 0.0208682
3 4050 0.0205916
3 4200 0.0214625
3 4350 0.0226328
3 4500 0.0199924
3 4650 0.0211459
3 4800 0.0196577
3 4950 0.0188784
4 0 0.0193325
4 150 0.0207955
4 300 0.0203972
4 450 0.0203858
4 600 0.0220644
4 750 0.0194321
4 900 0.0176466
4 1050 0.0178177
4 1200 0.0181803
4 1350 0.0169987
4 1500 0.0172736
4 1650 0.0187641
4 1800 0.0170724
4 1950 0.018599
4 2100 0.017947
4 2250 0.0178125
4 2400 0.0201928
4 2550 0.0175472
4 2700 0.0166664
4 2850 0.0167053
4 3000 0.0169266
4 3150 0.0158722
4 3300 0.0153412
4 3450 0.0155617
4 3600 0.0164989
4 3750 0.0151475
4 3900 0.015771
4 4050 0.0151694
4 4200 0.0154801
4 4350 0.0146231
4 4500 0.0150218
4 4650 0.0151482
4 4800 0.0140105
4 4950 0.0146516
5 0 0.0144901
5 150 0.0148914
5 300 0.0160475
5 450 0.0156674
5 600 0.0139579
5 750 0.0135879
5 900 0.0143192
5 1050 0.0136798
5 1200 0.0147479
5 1350 0.0142394
5 1500 0.0160228
5 1650 0.0128505
5 1800 0.0131593
5 1950 0.0138307
5 2100 0.0132757
5 2250 0.014701
5 2400 0.012691
5 2550 0.0130606
5 2700 0.0121427
5 2850 0.0121702
5 3000 0.0132317
5 3150 0.0144244
5 3300 0.0125096
5 3450 0.0128549
5 3600 0.0122381
5 3750 0.0123272
5 3900 0.0119448
5 4050 0.0119212
5 4200 0.0139407
5 4350 0.0128488
5 4500 0.0114977
5 4650 0.0114412
5 4800 0.0117051
5 4950 0.0111229
6 0 0.0113328
6 150 0.0112125
6 300 0.0134039
6 450 0.0108918
6 600 0.0116673
